Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg
2002,LTU,0,0,0,0,0,0,0,0,0.0
2006,LTU,0,0,0,0,0,0,0,0,0.0
2010,LTU,0,0,0,0,0,0,0,0,0.0
2014,LTU,0,0,0,0,0,0,0,0,0.0
2018,LTU,0,0,0,0,0,0,0,0,0.0
2022,LTU,0,0,0,0,0,0,0,0,0.0
2026,LTU,0,0,0,0,0,0,0,0,0.0
1928,LUX,0,0,0,0,0,0,0,0,0.0
1936,LUX,0,0,0,0,0,0,0,0,0.0
1988,LUX,0,0,0,0,0,0,0,0,0.0
1992,LUX,0,2,0,2,0,0,0,0,0.0
1994,LUX,0,0,0,0,0,2,0,2,0.6666666666666666
1998,LUX,0,0,0,0,0,2,0,2,0.6666666666666666
2006,LUX,0,0,0,0,0,2,0,2,0.6666666666666666
2014,LUX,0,0,0,0,0,2,0,2,0.0
2018,LUX,0,0,0,0,0,2,0,2,0.0
2022,LUX,0,0,0,0,0,2,0,2,0.0
2026,LUX,0,0,0,0,0,2,0,2,0.0
2006,MAD,0,0,0,0,0,0,0,0,0.0
2018,MAD,0,0,0,0,0,0,0,0,0.0
2022,MAD,0,0,0,0,0,0,0,0,0.0
2026,MAD,0,0,0,0,0,0,0,0,0.0
1968,MAR,0,0,0,0,0,0,0,0,0.0
1984,MAR,0,0,0,0,0,0,0,0,0.0
1988,MAR,0,0,0,0,0,0,0,0,0.0
1992,MAR,0,0,0,0,0,0,0,0,0.0
2010,MAR,0,0,0,0,0,0,0,0,0.0
2014,MAR,0,0,0,0,0,0,0,0,0.0
2018,MAR,0,0,0,0,0,0,0,0,0.0
2022,MAR,0,0,0,0,0,0,0,0,0.0
2026,MAR,0,0,0,0,0,0,0,0,0.0
2018,MAS,0,0,0,0,0,0,0,0,0.0
2022,MAS,0,0,0,0,0,0,0,0,0.0
2026,MAS,0,0,0,0,0,0,0,0,0.0
1994,MDA,0,0,0,0,0,0,0,0,0.0
1998,MDA,0,0,0,0,0,0,0,0,0.0
2002,MDA,0,0,0,0,0,0,0,0,0.0
2006,MDA,0,0,0,0,0,0,0,0,0.0
2010,MDA,0,0,0,0,0,0,0,0,0.0
2014,MDA,0,0,0,0,0,0,0,0,0.0
2018,MDA,0,0,0,0,0,0,0,0,0.0
2022,MDA,0,0,0,0,0,0,0,0,0.0
2026,MDA,0,0,0,0,0,0,0,0,0.0
1928,MEX,0,0,0,0,0,0,0,0,0.0
1984,MEX,0,0,0,0,0,0,0,0,0.0
1988,MEX,0,0,0,0,0,0,0,0,0.0
1992,MEX,0,0,0,0,0,0,0,0,0.0
1994,MEX,0,0,0,0,0,0,0,0,0.0
2002,MEX,0,0,0,0,0,0,0,0,0.0
2010,MEX,0,0,0,0,0,0,0,0,0.0
2014,MEX,0,0,0,0,0,0,0,0,0.0
2018,MEX,0,0,0,0,0,0,0,0,0.0
2022,MEX,0,0,0,0,0,0,0,0,0.0
2026,MEX,0,0,0,0,0,0,0,0,0.0
1964,MGL,0,0,0,0,0,0,0,0,0.0
1968,MGL,0,0,0,0,0,0,0,0,0.0
1972,MGL,0,0,0,0,0,0,0,0,0.0
1980,MGL,0,0,0,0,0,0,0,0,0.0
1984,MGL,0,0,0,0,0,0,0,0,0.0
1988,MGL,0,0,0,0,0,0,0,0,0.0
1992,MGL,0,0,0,0,0,0,0,0,0.0
1994,MGL,0,0,0,0,0,0,0,0,0.0
1998,MGL,0,0,0,0,0,0,0,0,0.0
2002,MGL,0,0,0,0,0,0,0,0,0.0
2006,MGL,0,0,0,0,0,0,0,0,0.0
2010,MGL,0,0,0,0,0,0,0,0,0.0
2014,MGL,0,0,0,0,0,0,0,0,0.0
2018,MGL,0,0,0,0,0,0,0,0,0.0
2022,MGL,0,0,0,0,0,0,0,0,0.0
2026,MGL,0,0,0,0,0,0,0,0,0.0
1998,MKD,0,0,0,0,0,0,0,0,0.0
2002,MKD,0,0,0,0,0,0,0,0,0.0
2006,MKD,0,0,0,0,0,0,0,0,0.0
2010,MKD,0,0,0,0,0,0,0,0,0.0
2014,MKD,0,0,0,0,0,0,0,0,0.0
2018,MKD,0,0,0,0,0,0,0,0,0.0
2022,MKD,0,0,0,0,0,0,0,0,0.0
2026,MKD,0,0,0,0,0,0,0,0,0.0
2014,MLT,0,0,0,0,0,0,0,0,0.0
2018,MLT,0,0,0,0,0,0,0,0,0.0
2022,MLT,0,0,0,0,0,0,0,0,0.0
2026,MLT,0,0,0,0,0,0,0,0,0.0
2010,MNE,0,0,0,0,0,0,0,0,0.0
2014,MNE,0,0,0,0,0,0,0,0,0.0
2018,MNE,0,0,0,0,0,0,0,0,0.0
2022,MNE,0,0,0,0,0,0,0,0,0.0
2026,MNE,0,0,0,0,0,0,0,0,0.0
1984,MON,0,0,0,0,0,0,0,0,0.0
1988,MON,0,0,0,0,0,0,0,0,0.0
1992,MON,0,0,0,0,0,0,0,0,0.0
1994,MON,0,0,0,0,0,0,0,0,0.0
1998,MON,0,0,0,0,0,0,0,0,0.0
2002,MON,0,0,0,0,0,0,0,0,0.0
2006,MON,0,0,0,0,0,0,0,0,0.0
2010,MON,0,0,0,0,0,0,0,0,0.0
2014,MON,0,0,0,0,0,0,0,0,0.0
2018,MON,0,0,0,0,0,0,0,0,0.0
2022,MON,0,0,0,0,0,0,0,0,0.0
2026,MON,0,0,0,0,0,0,0,0,0.0
1928,NED,0,0,0,0,0,0,0,0,0.0
1936,NED,0,0,0,0,0,0,0,0,0.0
1948,NED,0,0,0,0,0,0,0,0,0.0
1952,NED,0,3,0,3,0,0,0,0,0.0
1956,NED,0,0,0,0,0,3,0,3,1.0
1960,NED,0,1,1,2,0,3,0,3,1.0
1964,NED,1,1,0,2,0,4,1,5,1.6666666666666667
1968,NED,3,3,3,9,1,5,1,7,1.3333333333333333
1972,NED,4,3,2,9,4,8,4,16,4.333333333333333
1976,NED,1,2,3,6,8,11,6,25,6.666666666666667
1980,NED,1,2,1,4,9,13,9,31,8.0
1984,NED,0,0,0,0,10,15,10,35,6.333333333333333
1988,NED,3,2,2,7,10,15,10,35,3.3333333333333335
1992,NED,1,1,2,4,13,17,12,42,3.6666666666666665
1994,NED,0,1,3,4,14,18,14,46,3.6666666666666665
1998,NED,5,4,2,11,14,19,17,50,5.0
2002,NED,3,5,0,8,19,23,19,61,6.333333333333333
2006,NED,3,2,4,9,22,28,19,69,7.666666666666667
2010,NED,4,1,3,8,25,30,23,78,9.333333333333334
2014,NED,8,7,9,24,29,31,26,86,8.333333333333334
2018,NED,8,6,6,20,37,38,35,110,13.666666666666666
2022,NED,8,5,4,17,45,44,41,130,17.333333333333332
2026,NED,10,7,3,20,53,49,45,147,20.333333333333332
1924,NEP,1,0,0,1,0,0,0,0,0.0
2002,NEP,0,0,0,0,1,0,0,1,1.0
2006,NEP,0,0,0,0,1,0,0,1,0.5
2010,NEP,0,0,0,0,1,0,0,1,0.3333333333333333
2014,NEP,0,0,0,0,1,0,0,1,0.0
2018,NGR,0,0,0,0,0,0,0,0,0.0
2022,NGR,0,0,0,0,0,0,0,0,0.0
2026,NGR,0,0,0,0,0,0,0,0,0.0
1924,NOR,4,7,6,17,0,0,0,0,0.0
1928,NOR,6,4,5,15,4,7,6,17,17.0
1932,NOR,3,4,3,10,10,11,11,32,16.0
1936,NOR,7,5,3,15,13,15,14,42,14.0
1948,NOR,4,3,3,10,20,20,17,57,13.333333333333334
1952,NOR,7,3,6,16,24,23,20,67,11.666666666666666
1956,NOR,2,1,1,4,31,26,26,83,13.666666666666666
1960,NOR,3,3,0,6,33,27,27,87,10.0
1964,NOR,3,6,6,15,36,30,27,93,8.666666666666666
1968,NOR,6,6,2,14,39,36,33,108,8.333333333333334
1972,NOR,2,5,5,12,45,42,35,122,11.666666666666666
1976,NOR,3,3,1,7,47,47,40,134,13.666666666666666
1980,NOR,1,3,6,10,50,50,41,141,11.0
1984,NOR,3,2,4,9,51,53,47,151,9.666666666666666
1988,NOR,0,3,2,5,54,55,51,160,8.666666666666666
1992,NOR,7,5,5,17,54,58,53,165,8.0
1994,NOR,8,10,5,23,61,63,58,182,10.333333333333334
1998,NOR,8,9,5,22,69,73,63,205,15.0
2002,NOR,12,5,7,24,77,82,68,227,20.666666666666668
2006,NOR,2,8,9,19,89,87,75,251,23.0
2010,NOR,9,8,6,23,91,95,84,270,21.666666666666668
2014,NOR,11,5,10,26,100,103,90,293,22.0
2018,NOR,14,14,11,39,111,108,100,319,22.666666666666668
2022,NOR,16,8,13,37,125,122,111,358,29.333333333333332
2026,NOR,18,11,11,40,141,130,124,395,34.0
1952,NZL,0,0,0,0,0,0,0,0,0.0
1960,NZL,0,0,0,0,0,0,0,0,0.0
1968,NZL,0,0,0,0,0,0,0,0,0.0
1972,NZL,0,0,0,0,0,0,0,0,0.0
1976,NZL,0,0,0,0,0,0,0,0,0.0
1980,NZL,0,0,0,0,0,0,0,0,0.0
1984,NZL,0,0,0,0,0,0,0,0,0.0
1988,NZL,0,0,0,0,0,0,0,0,0.0
1992,NZL,0,1,0,1,0,0,0,0,0.0
1994,NZL,0,0,0,0,0,1,0,1,0.3333333333333333
1998,NZL,0,0,0,0,0,1,0,1,0.3333333333333333
2002,NZL,0,0,0,0,0,1,0,1,0.3333333333333333
2006,NZL,0,0,0,0,0,1,0,1,0.0
2010,NZL,0,0,0,0,0,1,0,1,0.0
2014,NZL,0,0,0,0,0,1,0,1,0.0
2018,NZL,0,0,2,2,0,1,0,1,0.0
2022,NZL,2,1,0,3,0,1,2,3,0.6666666666666666
2026,NZL,0,1,1,2,2,2,2,6,1.6666666666666667
2018,OAR,2,6,9,17,0,0,0,0,0.0
2010,PAK,0,0,0,0,0,0,0,0,0.0
2014,PAK,0,0,0,0,0,0,0,0,0.0
2018,PAK,0,0,0,0,0,0,0,0,0.0
2022,PAK,0,0,0,0,0,0,0,0,0.0
2026,PAK,0,0,0,0,0,0,0,0,0.0
2014,PAR,0,0,0,0,0,0,0,0,0.0
2010,PER,0,0,0,0,0,0,0,0,0.0
2014,PER,0,0,0,0,0,0,0,0,0.0
2022,PER,0,0,0,0,0,0,0,0,0.0
1972,PHI,0,0,0,0,0,0,0,0,0.0
1988,PHI,0,0,0,0,0,0,0,0,0.0
1992,PHI,0,0,0,0,0,0,0,0,0.0
2014,PHI,0,0,0,0,0,0,0,0,0.0
2018,PHI,0,0,0,0,0,0,0,0,0.0
2022,PHI,0,0,0,0,0,0,0,0,0.0
2026,PHI,0,0,0,0,0,0,0,0,0.0
1924,POL,0,0,0,0,0,0,0,0,0.0
1928,POL,0,0,0,0,0,0,0,0,0.0
1932,POL,0,0,0,0,0,0,0,0,0.0
1936,POL,0,0,0,0,0,0,0,0,0.0
1948,POL,0,0,0,0,0,0,0,0,0.0
1952,POL,0,0,0,0,0,0,0,0,0.0
1956,POL,0,0,1,1,0,0,0,0,0.0
1960,POL,0,1,1,2,0,0,1,1,0.3333333333333333
1964,POL,0,0,0,0,0,1,2,3,1.0
1968,POL,0,0,0,0,0,1,2,3,1.0
1972,POL,1,0,0,1,0,1,2,3,0.6666666666666666
1976,POL,0,0,0,0,1,1,2,4,0.3333333333333333
1980,POL,0,0,0,0,1,1,2,4,0.3333333333333333
1984,POL,0,0,0,0,1,1,2,4,0.3333333333333333
1988,POL,0,0,0,0,1,1,2,4,0.0
1992,POL,0,0,0,0,1,1,2,4,0.0
1994,POL,0,0,0,0,1,1,2,4,0.0
1998,POL,0,0,0,0,1,1,2,4,0.0
2002,POL,0,1,1,2,1,1,2,4,0.0
2006,POL,0,1,1,2,1,2,3,6,0.6666666666666666
2010,POL,1,3,2,6,1,3,4,8,1.3333333333333333
2014,POL,4,1,1,6,2,6,6,14,3.3333333333333335
2018,POL,1,0,1,2,6,7,7,20,4.666666666666667
2022,POL,0,0,1,1,7,7,8,22,4.666666666666667
2026,POL,0,3,1,4,7,7,9,23,3.0
1952,POR,0,0,0,0,0,0,0,0,0.0
1988,POR,0,0,0,0,0,0,0,0,0.0
1994,POR,0,0,0,0,0,0,0,0,0.0
1998,POR,0,0,0,0,0,0,0,0,0.0
2006,POR,0,0,0,0,0,0,0,0,0.0
2010,POR,0,0,0,0,0,0,0,0,0.0
2014,POR,0,0,0,0,0,0,0,0,0.0
2018,POR,0,0,0,0,0,0,0,0,0.0
2022,POR,0,0,0,0,0,0,0,0,0.0
2026,POR,0,0,0,0,0,0,0,0,0.0
1964,PRK,0,1,0,1,0,0,0,0,0.0
1972,PRK,0,0,0,0,0,1,0,1,1.0
1984,PRK,0,0,0,0,0,1,0,1,0.5
1988,PRK,0,0,0,0,0,1,0,1,0.3333333333333333
1992,PRK,0,0,1,1,0,1,0,1,0.0
1998,PRK,0,0,0,0,0,1,1,2,0.3333333333333333
2006,PRK,0,0,0,0,0,1,1,2,0.3333333333333333
2010,PRK,0,0,0,0,0,1,1,2,0.3333333333333333
2018,PRK,0,0,0,0,0,1,1,2,0.0
1984,PUR,0,0,0,0,0,0,0,0,0.0
1988,PUR,0,0,0,0,0,0,0,0,0.0
1992,PUR,0,0,0,0,0,0,0,0,0.0
1994,PUR,0,0,0,0,0,0,0,0,0.0
1998,PUR,0,0,0,0,0,0,0,0,0.0
2018,PUR,0,0,0,0,0,0,0,0,0.0
2022,PUR,0,0,0,0,0,0,0,0,0.0
2026,PUR,0,0,0,0,0,0,0,0,0.0
2018,ROC,2,6,9,17,0,0,0,0,0.0
2022,ROC,5,12,15,32,2,6,9,17,17.0
1928,ROU,0,0,0,0,0,0,0,0,0.0
1932,ROU,0,0,0,0,0,0,0,0,0.0
1936,ROU,0,0,0,0,0,0,0,0,0.0
1948,ROU,0,0,0,0,0,0,0,0,0.0
1952,ROU,0,0,0,0,0,0,0,0,0.0
1956,ROU,0,0,0,0,0,0,0,0,0.0
1964,ROU,0,0,0,0,0,0,0,0,0.0
1968,ROU,0,0,1,1,0,0,0,0,0.0
1972,ROU,0,0,0,0,0,0,1,1,0.3333333333333333
1976,ROU,0,0,0,0,0,0,1,1,0.3333333333333333
1980,ROU,0,0,0,0,0,0,1,1,0.3333333333333333
1984,ROU,0,0,0,0,0,0,1,1,0.0
1988,ROU,0,0,0,0,0,0,1,1,0.0
1992,ROU,0,0,0,0,0,0,1,1,0.0
1994,ROU,0,0,0,0,0,0,1,1,0.0
1998,ROU,0,0,0,0,0,0,1,1,0.0
2002,ROU,0,0,0,0,0,0,1,1,0.0
2006,ROU,0,0,0,0,0,0,1,1,0.0
2010,ROU,0,0,0,0,0,0,1,1,0.0
2014,ROU,0,0,0,0,0,0,1,1,0.0
2018,ROU,0,0,0,0,0,0,1,1,0.0
2022,ROU,0,0,0,0,0,0,1,1,0.0
2026,ROU,0,0,0,0,0,0,1,1,0.0
1960,RSA,0,0,0,0,0,0,0,0,0.0
1994,RSA,0,0,0,0,0,0,0,0,0.0
1998,RSA,0,0,0,0,0,0,0,0,0.0
2002,RSA,0,0,0,0,0,0,0,0,0.0
2006,RSA,0,0,0,0,0,0,0,0,0.0
2010,RSA,0,0,0,0,0,0,0,0,0.0
2018,RSA,0,0,0,0,0,0,0,0,0.0
2026,RSA,0,0,0,0,0,0,0,0,0.0
1994,RUS,11,8,4,23,0,0,0,0,0.0
1998,RUS,9,6,3,18,11,8,4,23,23.0
2002,RUS,5,4,4,13,20,14,7,41,20.5
2006,RUS,8,6,8,22,25,18,11,54,18.0
2010,RUS,3,5,7,15,33,24,19,76,17.666666666666668
2014,RUS,13,11,9,33,36,29,26,91,16.666666666666668
1998,SCG,0,0,0,0,0,0,0,0,0.0
2002,SCG,0,0,0,0,0,0,0,0,0.0
2006,SCG,0,0,0,0,0,0,0,0,0.0
1984,SEN,0,0,0,0,0,0,0,0,0.0
1992,SEN,0,0,0,0,0,0,0,0,0.0
1994,SEN,0,0,0,0,0,0,0,0,0.0
2006,SEN,0,0,0,0,0,0,0,0,0.0
2010,SEN,0,0,0,0,0,0,0,0,0.0
2018,SGP,0,0,0,0,0,0,0,0,0.0
2026,SGP,0,0,0,0,0,0,0,0,0.0
1992,SLO,0,0,0,0,0,0,0,0,0.0
1994,SLO,0,0,3,3,0,0,0,0,0.0
1998,SLO,0,0,0,0,0,0,3,3,1.5
2002,SLO,0,0,1,1,0,0,3,3,1.0
2006,SLO,0,0,0,0,0,0,4,4,1.3333333333333333
2010,SLO,0,2,1,3,0,0,4,4,0.3333333333333333
2014,SLO,2,2,4,8,0,2,5,7,1.3333333333333333
2018,SLO,0,1,1,2,2,4,9,15,3.6666666666666665
2022,SLO,2,3,2,7,2,5,10,17,4.333333333333333
2026,SLO,2,1,1,4,4,8,12,24,5.666666666666667
1976,SMR,0,0,0,0,0,0,0,0,0.0
1984,SMR,0,0,0,0,0,0,0,0,0.0
1988,SMR,0,0,0,0,0,0,0,0,0.0
1992,SMR,0,0,0,0,0,0,0,0,0.0
1994,SMR,0,0,0,0,0,0,0,0,0.0
2002,SMR,0,0,0,0,0,0,0,0,0.0
2006,SMR,0,0,0,0,0,0,0,0,0.0
2010,SMR,0,0,0,0,0,0,0,0,0.0
2014,SMR,0,0,0,0,0,0,0,0,0.0
2018,SMR,0,0,0,0,0,0,0,0,0.0
2022,SMR,0,0,0,0,0,0,0,0,0.0
2026,SMR,0,0,0,0,0,0,0,0,0.0
2010,SRB,0,0,0,0,0,0,0,0,0.0
2014,SRB,0,0,0,0,0,0,0,0,0.0
2018,SRB,0,0,0,0,0,0,0,0,0.0
2022,SRB,0,0,0,0,0,0,0,0,0.0
2026,SRB,0,0,0,0,0,0,0,0,0.0
1924,SUI,2,0,1,3,0,0,0,0,0.0
1928,SUI,0,0,1,1,2,0,1,3,3.0
1932,SUI,0,1,0,1,2,0,2,4,2.0
1936,SUI,1,2,0,3,2,1,2,5,1.6666666666666667
1948,SUI,3,4,2,9,3,3,2,8,1.6666666666666667
1952,SUI,0,0,2,2,6,7,4,17,4.333333333333333
1956,SUI,3,2,1,6,6,7,6,19,4.666666666666667
1960,SUI,2,0,0,2,9,9,7,25,5.666666666666667
1964,SUI,0,0,0,0,11,9,7,27,3.3333333333333335
1968,SUI,0,2,4,6,11,9,7,27,2.6666666666666665
1972,SUI,4,3,3,10,11,11,11,33,2.6666666666666665
1976,SUI,1,3,1,5,15,14,14,43,5.333333333333333
1980,SUI,1,1,3,5,16,17,15,48,7.0
1984,SUI,2,2,1,5,17,18,18,53,6.666666666666667
1988,SUI,5,5,5,15,19,20,19,58,5.0
1992,SUI,1,0,2,3,24,25,24,73,8.333333333333334
1994,SUI,3,4,2,9,25,25,26,76,7.666666666666667
1998,SUI,2,2,3,7,28,29,28,85,9.0
2002,SUI,3,2,6,11,30,31,31,92,6.333333333333333
2006,SUI,5,4,5,14,33,33,37,103,9.0
2010,SUI,6,0,3,9,38,37,42,117,10.666666666666666
2014,SUI,6,3,2,11,44,37,45,126,11.333333333333334
2018,SUI,5,6,4,15,50,40,47,137,11.333333333333334
2022,SUI,7,2,6,15,55,46,51,152,11.666666666666666
2026,SUI,6,7,6,19,62,48,57,167,13.666666666666666
1994,SVK,0,0,0,0,0,0,0,0,0.0
1998,SVK,0,0,0,0,0,0,0,0,0.0
2002,SVK,0,0,0,0,0,0,0,0,0.0
2006,SVK,0,1,0,1,0,0,0,0,0.0
2010,SVK,1,1,1,3,0,1,0,1,0.3333333333333333
2014,SVK,1,0,0,1,1,2,1,4,1.3333333333333333
2018,SVK,1,2,0,3,2,2,1,5,1.6666666666666667
2022,SVK,1,0,1,2,3,4,1,8,2.3333333333333335
2026,SVK,0,0,0,0,4,4,2,10,2.0
1924,SWE,1,1,0,2,0,0,0,0,0.0
1928,SWE,2,2,1,5,1,1,0,2,2.0
1932,SWE,1,2,0,3,3,3,1,7,3.5
1936,SWE,2,2,3,7,4,5,1,10,3.3333333333333335
1948,SWE,4,3,3,10,6,7,4,17,5.0
1952,SWE,0,0,4,4,10,10,7,27,6.666666666666667
1956,SWE,2,4,4,10,10,10,11,31,7.0
1960,SWE,3,2,2,7,12,14,15,41,8.0
1964,SWE,3,3,1,7,15,16,17,48,7.0
1968,SWE,3,2,3,8,18,19,18,55,8.0
1972,SWE,1,1,2,4,21,21,21,63,7.333333333333333
1976,SWE,0,0,2,2,22,22,23,67,6.333333333333333
1980,SWE,3,0,1,4,22,22,25,69,4.666666666666667
1984,SWE,4,2,2,8,25,22,26,73,3.3333333333333335
1988,SWE,4,0,2,6,29,24,28,81,4.666666666666667
1992,SWE,1,0,3,4,33,24,30,87,6.0
1994,SWE,2,1,0,3,34,24,33,91,6.0
1998,SWE,0,2,1,3,36,25,33,94,4.333333333333333
2002,SWE,0,2,5,7,36,27,34,97,3.3333333333333335
2006,SWE,7,2,5,14,36,29,39,104,4.333333333333333
2010,SWE,5,2,4,11,43,31,44,118,8.0
2014,SWE,2,7,6,15,48,33,48,129,10.666666666666666
2018,SWE,7,6,1,14,50,40,54,144,13.333333333333334
2022,SWE,8,5,5,18,57,46,55,158,13.333333333333334
2026,SWE,6,7,3,16,65,51,60,176,15.666666666666666
1992,SWZ,0,0,0,0,0,0,0,0,0.0
1924,TCH,0,0,0,0,0,0,0,0,0.0
1928,TCH,0,0,1,1,0,0,0,0,0.0
1932,TCH,0,0,0,0,0,0,1,1,0.5
1936,TCH,0,0,0,0,0,0,1,1,0.3333333333333333
1948,TCH,0,1,0,1,0,0,1,1,0.3333333333333333
1952,TCH,0,0,0,0,0,1,1,2,0.3333333333333333
1956,TCH,0,0,0,0,0,1,1,2,0.3333333333333333
1960,TCH,0,1,0,1,0,1,1,2,0.3333333333333333
1964,TCH,0,0,1,1,0,2,1,3,0.3333333333333333
1968,TCH,1,2,1,4,0,2,2,4,0.6666666666666666
1972,TCH,1,0,2,3,1,4,3,8,2.0
1976,TCH,0,1,0,1,2,4,5,11,2.6666666666666665
1980,TCH,0,0,1,1,2,5,5,12,2.6666666666666665
1984,TCH,0,2,4,6,2,5,6,13,1.6666666666666667
1988,TCH,0,1,2,3,2,7,10,19,2.6666666666666665
1992,TCH,0,0,3,3,2,8,12,22,3.3333333333333335
2014,TGA,0,0,0,0,0,0,0,0,0.0
2018,TGA,0,0,0,0,0,0,0,0,0.0
2002,THA,0,0,0,0,0,0,0,0,0.0
2006,THA,0,0,0,0,0,0,0,0,0.0
2014,THA,0,0,0,0,0,0,0,0,0.0
2018,THA,0,0,0,0,0,0,0,0,0.0
2022,THA,0,0,0,0,0,0,0,0,0.0
2026,THA,0,0,0,0,0,0,0,0,0.0
2002,TJK,0,0,0,0,0,0,0,0,0.0
2006,TJK,0,0,0,0,0,0,0,0,0.0
2010,TJK,0,0,0,0,0,0,0,0,0.0
2014,TJK,0,0,0,0,0,0,0,0,0.0
2014,TLS,0,0,0,0,0,0,0,0,0.0
2018,TLS,0,0,0,0,0,0,0,0,0.0
2022,TLS,0,0,0,0,0,0,0,0,0.0
2014,TOG,0,0,0,0,0,0,0,0,0.0
2018,TOG,0,0,0,0,0,0,0,0,0.0
1972,TPE,0,0,0,0,0,0,0,0,0.0
1976,TPE,0,0,0,0,0,0,0,0,0.0
1984,TPE,0,0,0,0,0,0,0,0,0.0
1988,TPE,0,0,0,0,0,0,0,0,0.0
1992,TPE,0,0,0,0,0,0,0,0,0.0
1994,TPE,0,0,0,0,0,0,0,0,0.0
1998,TPE,0,0,0,0,0,0,0,0,0.0
2002,TPE,0,0,0,0,0,0,0,0,0.0
2006,TPE,0,0,0,0,0,0,0,0,0.0
2010,TPE,0,0,0,0,0,0,0,0,0.0
2014,TPE,0,0,0,0,0,0,0,0,0.0
2018,TPE,0,0,0,0,0,0,0,0,0.0
2022,TPE,0,0,0,0,0,0,0,0,0.0
2026,TPE,0,0,0,0,0,0,0,0,0.0
1994,TTO,0,0,0,0,0,0,0,0,0.0
1998,TTO,0,0,0,0,0,0,0,0,0.0
2002,TTO,0,0,0,0,0,0,0,0,0.0
2022,TTO,0,0,0,0,0,0,0,0,0.0
2026,TTO,0,0,0,0,0,0,0,0,0.0
1936,TUR,0,0,0,0,0,0,0,0,0.0
1948,TUR,0,0,0,0,0,0,0,0,0.0
1956,TUR,0,0,0,0,0,0,0,0,0.0
1960,TUR,0,0,0,0,0,0,0,0,0.0
1964,TUR,0,0,0,0,0,0,0,0,0.0
1968,TUR,0,0,0,0,0,0,0,0,0.0
1976,TUR,0,0,0,0,0,0,0,0,0.0
1984,TUR,0,0,0,0,0,0,0,0,0.0
1988,TUR,0,0,0,0,0,0,0,0,0.0
1992,TUR,0,0,0,0,0,0,0,0,0.0
1994,TUR,0,0,0,0,0,0,0,0,0.0
1998,TUR,0,0,0,0,0,0,0,0,0.0
2002,TUR,0,0,0,0,0,0,0,0,0.0
2006,TUR,0,0,0,0,0,0,0,0,0.0
2010,TUR,0,0,0,0,0,0,0,0,0.0
2014,TUR,0,0,0,0,0,0,0,0,0.0
2018,TUR,0,0,0,0,0,0,0,0,0.0
2022,TUR,0,0,0,0,0,0,0,0,0.0
2026,TUR,0,0,0,0,0,0,0,0,0.0
2026,UAE,0,0,0,0,0,0,0,0,0.0
1994,UKR,1,0,1,2,0,0,0,0,0.0
1998,UKR,0,1,0,1,1,0,1,2,2.0
2002,UKR,0,0,0,0,1,1,1,3,1.5
2006,UKR,0,0,2,2,1,1,1,3,1.0
2010,UKR,0,0,0,0,1,1,3,5,1.0
2014,UKR,1,0,1,2,1,1,3,5,0.6666666666666666
2018,UKR,1,0,0,1,2,1,4,7,1.3333333333333333
2022,UKR,0,1,0,1,3,1,4,8,1.0
2026,UKR,0,0,0,0,3,2,4,9,1.3333333333333333
1956,URS,6,3,6,15,0,0,0,0,0.0
1960,URS,7,5,9,21,6,3,6,15,15.0
1964,URS,11,7,6,24,13,8,15,36,18.0
1968,URS,5,5,3,13,24,15,21,60,20.0
1972,URS,8,5,3,16,29,20,24,73,19.333333333333332
1976,URS,13,6,8,27,37,25,27,89,17.666666666666668
1980,URS,10,6,6,22,50,31,35,116,18.666666666666668
1984,URS,6,10,9,25,60,37,41,138,21.666666666666668
1988,URS,11,9,9,29,66,47,50,163,24.666666666666668
1998,URU,0,0,0,0,0,0,0,0,0.0
2026,URU,0,0,0,0,0,0,0,0,0.0
1924,USA,1,2,1,4,0,0,0,0,0.0
1928,USA,2,2,2,6,1,2,1,4,4.0
1932,USA,6,4,2,12,3,4,3,10,5.0
1936,USA,1,0,3,4,9,8,5,22,7.333333333333333
1948,USA,3,3,2,8,10,8,8,26,7.333333333333333
1952,USA,4,6,1,11,13,11,10,34,8.0
1956,USA,2,3,2,7,17,17,11,45,7.666666666666667
1960,USA,3,4,3,10,19,20,13,52,8.666666666666666
1964,USA,1,2,4,7,22,24,16,62,9.333333333333334
1968,USA,1,3,1,5,23,26,20,69,8.0
1972,USA,3,2,3,8,24,29,21,74,7.333333333333333
1976,USA,3,3,4,10,27,31,24,82,6.666666666666667
1980,USA,6,4,2,12,30,34,28,92,7.666666666666667
1984,USA,4,4,0,8,36,38,30,104,10.0
1988,USA,2,1,3,6,40,42,30,112,10.0
1992,USA,5,4,2,11,42,43,33,118,8.666666666666666
1994,USA,6,5,2,13,47,47,35,129,8.333333333333334
1998,USA,6,3,4,13,53,52,37,142,10.0
2002,USA,10,13,11,34,59,55,41,155,12.333333333333334
2006,USA,9,9,7,25,69,68,52,189,20.0
2010,USA,9,15,13,37,78,77,59,214,24.0
2014,USA,9,7,12,28,87,92,72,251,32.0
2018,USA,9,8,6,23,96,99,84,279,30.0
2022,USA,9,9,7,25,105,107,90,302,29.333333333333332
2026,USA,10,12,9,31,114,116,97,327,25.333333333333332
1994,UZB,1,0,0,1,0,0,0,0,0.0
1998,UZB,0,0,0,0,1,0,0,1,1.0
2002,UZB,0,0,0,0,1,0,0,1,0.5
