Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg
2024,NCA,0,0,0,0,0,0,0,0,0.0
1900,NED,1,2,4,7,0,0,0,0,0.0
1906,NED,0,1,2,3,1,2,4,7,7.0
1908,NED,0,0,2,2,1,3,6,10,5.0
1912,NED,0,0,3,3,1,3,8,12,4.0
1920,NED,4,2,5,11,1,3,11,15,2.6666666666666665
1924,NED,4,1,6,11,5,5,16,26,5.333333333333333
1928,NED,8,10,5,23,9,6,22,37,8.333333333333334
1932,NED,2,5,1,8,17,16,27,60,15.0
1936,NED,6,4,7,17,19,21,28,68,14.0
1948,NED,5,2,9,16,25,25,35,85,16.0
1952,NED,0,5,0,5,30,27,44,101,13.666666666666666
1956,NED,0,0,0,0,30,32,44,106,12.666666666666666
1960,NED,0,1,2,3,30,32,44,106,7.0
1964,NED,2,4,4,10,30,33,46,109,2.6666666666666665
1968,NED,3,3,1,7,32,37,50,119,4.333333333333333
1972,NED,3,1,1,5,35,40,51,126,6.666666666666667
1976,NED,0,2,3,5,38,41,52,131,7.333333333333333
1980,NED,0,1,2,3,38,43,55,136,5.666666666666667
1984,NED,5,2,6,13,38,44,57,139,4.333333333333333
1988,NED,2,2,5,9,43,46,63,152,7.0
1992,NED,2,6,7,15,45,48,68,161,8.333333333333334
1996,NED,4,5,10,19,47,54,75,176,12.333333333333334
2000,NED,12,9,4,25,51,59,85,195,14.333333333333334
2004,NED,4,9,9,22,63,68,89,220,19.666666666666668
2008,NED,7,5,4,16,67,77,98,242,22.0
2012,NED,6,6,8,20,74,82,102,258,21.0
2016,NED,8,7,4,19,80,88,110,278,19.333333333333332
2020,NED,10,12,14,36,88,95,114,297,18.333333333333332
2024,NED,15,7,12,34,98,107,128,333,25.0
1964,NEP,0,0,0,0,0,0,0,0,0.0
1972,NEP,0,0,0,0,0,0,0,0,0.0
1976,NEP,0,0,0,0,0,0,0,0,0.0
1980,NEP,0,0,0,0,0,0,0,0,0.0
1984,NEP,0,0,0,0,0,0,0,0,0.0
1988,NEP,0,0,0,0,0,0,0,0,0.0
1992,NEP,0,0,0,0,0,0,0,0,0.0
1996,NEP,0,0,0,0,0,0,0,0,0.0
2000,NEP,0,0,0,0,0,0,0,0,0.0
2004,NEP,0,0,0,0,0,0,0,0,0.0
2008,NEP,0,0,0,0,0,0,0,0,0.0
2012,NEP,0,0,0,0,0,0,0,0,0.0
2016,NEP,0,0,0,0,0,0,0,0,0.0
2020,NEP,0,0,0,0,0,0,0,0,0.0
2024,NEP,0,0,0,0,0,0,0,0,0.0
1904,NFL,0,0,0,0,0,0,0,0,0.0
1952,NGR,0,0,0,0,0,0,0,0,0.0
1956,NGR,0,0,0,0,0,0,0,0,0.0
1960,NGR,0,0,0,0,0,0,0,0,0.0
1964,NGR,0,0,1,1,0,0,0,0,0.0
1968,NGR,0,0,0,0,0,0,1,1,0.3333333333333333
1972,NGR,0,0,1,1,0,0,1,1,0.3333333333333333
1980,NGR,0,0,0,0,0,0,2,2,0.6666666666666666
1984,NGR,0,1,1,2,0,0,2,2,0.3333333333333333
1988,NGR,0,0,0,0,0,1,3,4,1.0
1992,NGR,0,3,1,4,0,1,3,4,0.6666666666666666
1996,NGR,2,1,3,6,0,4,4,8,2.0
2000,NGR,1,2,0,3,2,5,7,14,3.3333333333333335
2004,NGR,0,0,2,2,3,7,7,17,4.333333333333333
2008,NGR,0,1,3,4,3,7,9,19,3.6666666666666665
2012,NGR,0,0,0,0,3,8,12,23,3.0
2016,NGR,0,0,1,1,3,8,12,23,2.0
2020,NGR,0,1,1,2,3,8,13,24,1.6666666666666667
2024,NGR,0,0,0,0,3,9,14,26,1.0
1964,NIG,0,0,0,0,0,0,0,0,0.0
1968,NIG,0,0,0,0,0,0,0,0,0.0
1972,NIG,0,0,1,1,0,0,0,0,0.0
1984,NIG,0,0,0,0,0,0,1,1,0.3333333333333333
1988,NIG,0,0,0,0,0,0,1,1,0.3333333333333333
1992,NIG,0,0,0,0,0,0,1,1,0.3333333333333333
1996,NIG,0,0,0,0,0,0,1,1,0.0
2000,NIG,0,0,0,0,0,0,1,1,0.0
2004,NIG,0,0,0,0,0,0,1,1,0.0
2008,NIG,0,0,0,0,0,0,1,1,0.0
2012,NIG,0,0,0,0,0,0,1,1,0.0
2016,NIG,0,1,0,1,0,0,1,1,0.0
2020,NIG,0,0,0,0,0,1,1,2,0.3333333333333333
2024,NIG,0,0,0,0,0,1,1,2,0.3333333333333333
1900,NOR,0,2,3,5,0,0,0,0,0.0
1904,NOR,2,0,0,2,0,2,3,5,5.0
1906,NOR,1,1,0,2,2,2,3,7,3.5
1908,NOR,2,3,3,8,3,3,3,9,3.0
1912,NOR,4,1,5,10,5,6,6,17,4.0
1920,NOR,10,10,9,29,9,7,11,27,6.666666666666667
1924,NOR,5,2,3,10,19,17,20,56,15.666666666666666
1928,NOR,1,2,1,4,24,19,23,66,16.333333333333332
1932,NOR,0,0,0,0,25,21,24,70,14.333333333333334
1936,NOR,1,3,2,6,25,21,24,70,4.666666666666667
1948,NOR,1,3,3,7,26,24,26,76,3.3333333333333335
1952,NOR,3,2,0,5,27,27,29,83,4.333333333333333
1956,NOR,1,0,2,3,30,29,29,88,6.0
1960,NOR,1,0,0,1,31,29,31,91,5.0
1964,NOR,0,0,0,0,32,29,31,92,3.0
1968,NOR,1,1,0,2,32,29,31,92,1.3333333333333333
1972,NOR,2,1,1,4,33,30,31,94,1.0
1976,NOR,1,1,0,2,35,31,32,98,2.0
1984,NOR,0,1,2,3,36,32,32,100,2.6666666666666665
1988,NOR,2,3,0,5,36,33,34,103,3.0
1992,NOR,2,4,1,7,38,36,34,108,3.3333333333333335
1996,NOR,2,2,3,7,40,40,35,115,5.0
2000,NOR,4,3,3,10,42,42,38,122,6.333333333333333
2004,NOR,5,0,1,6,46,45,41,132,8.0
2008,NOR,3,5,1,9,51,45,42,138,7.666666666666667
2012,NOR,2,1,1,4,54,50,43,147,8.333333333333334
2016,NOR,0,0,4,4,56,51,44,151,6.333333333333333
2020,NOR,4,2,2,8,56,51,48,155,5.666666666666667
2024,NOR,4,1,3,8,60,53,50,163,5.333333333333333
1996,NRU,0,0,0,0,0,0,0,0,0.0
2000,NRU,0,0,0,0,0,0,0,0,0.0
2004,NRU,0,0,0,0,0,0,0,0,0.0
2008,NRU,0,0,0,0,0,0,0,0,0.0
2012,NRU,0,0,0,0,0,0,0,0,0.0
2016,NRU,0,0,0,0,0,0,0,0,0.0
2020,NRU,0,0,0,0,0,0,0,0,0.0
2024,NRU,0,0,0,0,0,0,0,0,0.0
1900,NZL,1,0,0,1,0,0,0,0,0.0
1920,NZL,0,0,1,1,1,0,0,1,1.0
1924,NZL,0,0,1,1,1,0,1,2,1.0
1928,NZL,1,0,0,1,1,0,2,3,1.0
1932,NZL,0,1,0,1,2,0,2,4,1.0
1936,NZL,1,0,0,1,2,1,2,5,1.0
1948,NZL,0,0,0,0,3,1,2,6,1.0
1952,NZL,1,0,2,3,3,1,2,6,0.6666666666666666
1956,NZL,2,0,0,2,4,1,4,9,1.3333333333333333
1960,NZL,2,0,1,3,6,1,4,11,1.6666666666666667
1964,NZL,3,0,2,5,8,1,5,14,2.6666666666666665
1968,NZL,1,0,2,3,11,1,7,19,3.3333333333333335
1972,NZL,1,1,1,3,12,1,9,22,3.6666666666666665
1976,NZL,2,1,1,4,13,2,10,25,3.6666666666666665
1980,NZL,0,0,0,0,15,3,11,29,3.3333333333333335
1984,NZL,8,1,2,11,15,3,11,29,2.3333333333333335
1988,NZL,3,2,8,13,23,4,13,40,5.0
1992,NZL,1,4,5,10,26,6,21,53,8.0
1996,NZL,3,2,1,6,27,10,26,63,11.333333333333334
2000,NZL,1,0,3,4,30,12,27,69,9.666666666666666
2004,NZL,3,2,0,5,31,12,30,73,6.666666666666667
2008,NZL,3,2,4,9,34,14,30,78,5.0
2012,NZL,6,2,5,13,37,16,34,87,6.0
2016,NZL,4,9,5,18,43,18,39,100,9.0
2020,NZL,7,6,7,20,47,27,44,118,13.333333333333334
2024,NZL,10,7,3,20,54,33,51,138,17.0
1984,OMA,0,0,0,0,0,0,0,0,0.0
1988,OMA,0,0,0,0,0,0,0,0,0.0
1992,OMA,0,0,0,0,0,0,0,0,0.0
1996,OMA,0,0,0,0,0,0,0,0,0.0
2000,OMA,0,0,0,0,0,0,0,0,0.0
2004,OMA,0,0,0,0,0,0,0,0,0.0
2008,OMA,0,0,0,0,0,0,0,0,0.0
2012,OMA,0,0,0,0,0,0,0,0,0.0
2016,OMA,0,0,0,0,0,0,0,0,0.0
2020,OMA,0,0,0,0,0,0,0,0,0.0
2024,OMA,0,0,0,0,0,0,0,0,0.0
1948,PAK,0,0,0,0,0,0,0,0,0.0
1952,PAK,0,0,0,0,0,0,0,0,0.0
1956,PAK,0,1,0,1,0,0,0,0,0.0
1960,PAK,1,0,1,2,0,1,0,1,0.3333333333333333
1964,PAK,0,1,0,1,1,1,1,3,1.0
1968,PAK,1,0,0,1,1,2,1,4,1.3333333333333333
1972,PAK,0,1,0,1,2,2,1,5,1.3333333333333333
1976,PAK,0,0,1,1,2,3,1,6,1.0
1984,PAK,1,0,0,1,2,3,2,7,1.0
1988,PAK,0,0,1,1,3,3,2,8,1.0
1992,PAK,0,0,1,1,3,3,3,9,1.0
1996,PAK,0,0,0,0,3,3,4,10,1.0
2000,PAK,0,0,0,0,3,3,4,10,0.6666666666666666
2004,PAK,0,0,0,0,3,3,4,10,0.3333333333333333
2008,PAK,0,0,0,0,3,3,4,10,0.0
2012,PAK,0,0,0,0,3,3,4,10,0.0
2016,PAK,0,0,0,0,3,3,4,10,0.0
2020,PAK,0,0,0,0,3,3,4,10,0.0
2024,PAK,1,0,0,1,3,3,4,10,0.0
1928,PAN,0,0,0,0,0,0,0,0,0.0
1948,PAN,0,0,2,2,0,0,0,0,0.0
1952,PAN,0,0,0,0,0,0,2,2,1.0
1960,PAN,0,0,0,0,0,0,2,2,0.6666666666666666
1964,PAN,0,0,0,0,0,0,2,2,0.6666666666666666
1968,PAN,0,0,0,0,0,0,2,2,0.0
1972,PAN,0,0,0,0,0,0,2,2,0.0
1976,PAN,0,0,0,0,0,0,2,2,0.0
1984,PAN,0,0,0,0,0,0,2,2,0.0
1988,PAN,0,0,0,0,0,0,2,2,0.0
1992,PAN,0,0,0,0,0,0,2,2,0.0
1996,PAN,0,0,0,0,0,0,2,2,0.0
2000,PAN,0,0,0,0,0,0,2,2,0.0
2004,PAN,0,0,0,0,0,0,2,2,0.0
2008,PAN,1,0,0,1,0,0,2,2,0.0
2012,PAN,0,0,0,0,1,0,2,3,0.3333333333333333
2016,PAN,0,0,0,0,1,0,2,3,0.3333333333333333
2020,PAN,0,0,0,0,1,0,2,3,0.3333333333333333
2024,PAN,0,1,0,1,1,0,2,3,0.0
1968,PAR,0,0,0,0,0,0,0,0,0.0
1972,PAR,0,0,0,0,0,0,0,0,0.0
1976,PAR,0,0,0,0,0,0,0,0,0.0
1984,PAR,0,0,0,0,0,0,0,0,0.0
1988,PAR,0,0,0,0,0,0,0,0,0.0
1992,PAR,0,0,0,0,0,0,0,0,0.0
1996,PAR,0,0,0,0,0,0,0,0,0.0
2000,PAR,0,0,0,0,0,0,0,0,0.0
2004,PAR,0,1,0,1,0,0,0,0,0.0
2008,PAR,0,0,0,0,0,1,0,1,0.3333333333333333
2012,PAR,0,0,0,0,0,1,0,1,0.3333333333333333
2016,PAR,0,0,0,0,0,1,0,1,0.3333333333333333
2020,PAR,0,0,0,0,0,1,0,1,0.0
2024,PAR,0,0,0,0,0,1,0,1,0.0
1900,PER,0,0,0,0,0,0,0,0,0.0
1932,PER,0,0,0,0,0,0,0,0,0.0
1936,PER,0,0,0,0,0,0,0,0,0.0
1948,PER,1,0,0,1,0,0,0,0,0.0
1956,PER,0,0,0,0,1,0,0,1,0.3333333333333333
1960,PER,0,0,0,0,1,0,0,1,0.3333333333333333
1964,PER,0,0,0,0,1,0,0,1,0.3333333333333333
1968,PER,0,0,0,0,1,0,0,1,0.0
1972,PER,0,0,0,0,1,0,0,1,0.0
1976,PER,0,0,0,0,1,0,0,1,0.0
1980,PER,0,0,0,0,1,0,0,1,0.0
1984,PER,0,1,0,1,1,0,0,1,0.0
1988,PER,0,1,0,1,1,1,0,2,0.3333333333333333
1992,PER,0,1,0,1,1,2,0,3,0.6666666666666666
1996,PER,0,0,0,0,1,3,0,4,1.0
2000,PER,0,0,0,0,1,3,0,4,0.6666666666666666
2004,PER,0,0,0,0,1,3,0,4,0.3333333333333333
2008,PER,0,0,0,0,1,3,0,4,0.0
2012,PER,0,0,0,0,1,3,0,4,0.0
2016,PER,0,0,0,0,1,3,0,4,0.0
2020,PER,0,0,0,0,1,3,0,4,0.0
2024,PER,0,0,1,1,1,3,0,4,0.0
1924,PHI,0,0,0,0,0,0,0,0,0.0
1928,PHI,0,0,1,1,0,0,0,0,0.0
1932,PHI,0,0,3,3,0,0,1,1,0.5
1936,PHI,0,0,1,1,0,0,4,4,1.3333333333333333
1948,PHI,0,0,0,0,0,0,5,5,1.6666666666666667
1952,PHI,0,0,0,0,0,0,5,5,1.3333333333333333
1956,PHI,0,0,0,0,0,0,5,5,0.3333333333333333
1960,PHI,0,0,0,0,0,0,5,5,0.0
1964,PHI,0,1,0,1,0,0,5,5,0.0
1968,PHI,0,0,0,0,0,1,5,6,0.3333333333333333
1972,PHI,0,0,0,0,0,1,5,6,0.3333333333333333
1976,PHI,0,0,0,0,0,1,5,6,0.3333333333333333
1984,PHI,0,0,0,0,0,1,5,6,0.0
1988,PHI,0,0,1,1,0,1,5,6,0.0
1992,PHI,0,0,1,1,0,1,6,7,0.3333333333333333
1996,PHI,0,1,0,1,0,1,7,8,0.6666666666666666
2000,PHI,0,0,0,0,0,2,7,9,1.0
2004,PHI,0,0,0,0,0,2,7,9,0.6666666666666666
2008,PHI,0,0,0,0,0,2,7,9,0.3333333333333333
2012,PHI,0,0,0,0,0,2,7,9,0.0
2016,PHI,0,1,0,1,0,2,7,9,0.0
2020,PHI,1,2,1,4,0,3,7,10,0.3333333333333333
2024,PHI,2,0,2,4,1,5,8,14,1.6666666666666667
1996,PLE,0,0,0,0,0,0,0,0,0.0
2000,PLE,0,0,0,0,0,0,0,0,0.0
2004,PLE,0,0,0,0,0,0,0,0,0.0
2008,PLE,0,0,0,0,0,0,0,0,0.0
2012,PLE,0,0,0,0,0,0,0,0,0.0
2016,PLE,0,0,0,0,0,0,0,0,0.0
2020,PLE,0,0,0,0,0,0,0,0,0.0
2024,PLE,0,0,0,0,0,0,0,0,0.0
2000,PLW,0,0,0,0,0,0,0,0,0.0
2004,PLW,0,0,0,0,0,0,0,0,0.0
2008,PLW,0,0,0,0,0,0,0,0,0.0
2012,PLW,0,0,0,0,0,0,0,0,0.0
2016,PLW,0,0,0,0,0,0,0,0,0.0
2020,PLW,0,0,0,0,0,0,0,0,0.0
2024,PLW,0,0,0,0,0,0,0,0,0.0
1976,PNG,0,0,0,0,0,0,0,0,0.0
1984,PNG,0,0,0,0,0,0,0,0,0.0
1988,PNG,0,0,0,0,0,0,0,0,0.0
1992,PNG,0,0,0,0,0,0,0,0,0.0
1996,PNG,0,0,0,0,0,0,0,0,0.0
2000,PNG,0,0,0,0,0,0,0,0,0.0
2004,PNG,0,0,0,0,0,0,0,0,0.0
2008,PNG,0,0,0,0,0,0,0,0,0.0
2012,PNG,0,0,0,0,0,0,0,0,0.0
2016,PNG,0,0,0,0,0,0,0,0,0.0
2020,PNG,0,0,0,0,0,0,0,0,0.0
2024,PNG,0,0,0,0,0,0,0,0,0.0
1912,POL,0,0,0,0,0,0,0,0,0.0
1924,POL,0,1,1,2,0,0,0,0,0.0
1928,POL,2,1,4,7,0,1,1,2,1.0
1932,POL,3,2,4,9,2,2,5,9,3.0
1936,POL,0,4,5,9,5,4,9,18,6.0
1948,POL,1,0,1,2,5,8,14,27,8.333333333333334
1952,POL,1,2,1,4,6,8,15,29,6.666666666666667
1956,POL,1,4,4,9,7,10,16,33,5.0
1960,POL,4,6,11,21,8,14,20,42,5.0
1964,POL,7,6,10,23,12,20,31,63,11.333333333333334
1968,POL,5,2,11,18,19,26,41,86,17.666666666666668
1972,POL,7,5,9,21,24,28,52,104,20.666666666666668
1976,POL,7,6,13,26,31,33,61,125,20.666666666666668
1980,POL,3,14,15,32,38,39,74,151,21.666666666666668
1988,POL,2,5,9,16,41,53,89,183,26.333333333333332
1992,POL,3,6,10,19,43,58,98,199,24.666666666666668
1996,POL,7,5,5,17,46,64,108,218,22.333333333333332
2000,POL,6,5,3,14,53,69,113,235,17.333333333333332
2004,POL,3,2,5,10,59,74,116,249,16.666666666666668
2008,POL,3,6,1,10,62,76,121,259,13.666666666666666
2012,POL,2,2,6,10,65,82,122,269,11.333333333333334
2016,POL,2,3,6,11,67,84,128,279,10.0
2020,POL,4,5,5,14,69,87,134,290,10.333333333333334
2024,POL,1,4,5,10,73,92,139,304,11.666666666666666
1912,POR,0,0,0,0,0,0,0,0,0.0
1920,POR,0,0,0,0,0,0,0,0,0.0
1924,POR,0,0,1,1,0,0,0,0,0.0
1928,POR,0,0,1,1,0,0,1,1,0.3333333333333333
1932,POR,0,0,0,0,0,0,2,2,0.6666666666666666
1936,POR,0,0,1,1,0,0,2,2,0.6666666666666666
1948,POR,0,1,1,2,0,0,3,3,0.6666666666666666
1952,POR,0,0,1,1,0,1,4,5,1.0
1956,POR,0,0,0,0,0,1,5,6,1.3333333333333333
1960,POR,0,1,0,1,0,1,5,6,1.0
1964,POR,0,0,0,0,0,2,5,7,0.6666666666666666
1968,POR,0,0,0,0,0,2,5,7,0.3333333333333333
1972,POR,0,0,0,0,0,2,5,7,0.3333333333333333
1976,POR,0,2,0,2,0,2,5,7,0.0
1980,POR,0,0,0,0,0,4,5,9,0.6666666666666666
1984,POR,1,0,2,3,0,4,5,9,0.6666666666666666
1988,POR,1,0,0,1,1,4,7,12,1.6666666666666667
1992,POR,0,0,0,0,2,4,7,13,1.3333333333333333
1996,POR,1,0,1,2,2,4,7,13,1.3333333333333333
2000,POR,0,0,2,2,3,4,8,15,1.0
2004,POR,0,2,1,3,3,4,10,17,1.3333333333333333
2008,POR,1,1,0,2,3,6,11,20,2.3333333333333335
2012,POR,0,1,0,1,4,7,11,22,2.3333333333333335
2016,POR,0,0,1,1,4,8,11,23,2.0
2020,POR,1,1,2,4,4,8,12,24,1.3333333333333333
2024,POR,1,2,1,4,5,9,14,28,2.0
1972,PRK,1,1,3,5,0,0,0,0,0.0
1976,PRK,1,1,0,2,1,1,3,5,5.0
1980,PRK,0,3,2,5,2,2,3,7,3.5
1992,PRK,4,0,5,9,2,5,5,12,4.0
1996,PRK,2,1,2,5,6,5,10,21,5.333333333333333
2000,PRK,0,1,3,4,8,6,12,26,6.333333333333333
2004,PRK,0,4,1,5,8,7,15,30,6.0
2008,PRK,2,1,3,6,8,11,16,35,4.666666666666667
2012,PRK,4,0,2,6,10,12,19,41,5.0
2016,PRK,2,3,2,7,14,12,21,47,5.666666666666667
2024,PRK,0,2,4,6,16,15,23,54,6.333333333333333
1948,PUR,0,0,1,1,0,0,0,0,0.0
1952,PUR,0,0,0,0,0,0,1,1,1.0
1956,PUR,0,0,0,0,0,0,1,1,0.5
1960,PUR,0,0,0,0,0,0,1,1,0.3333333333333333
1964,PUR,0,0,0,0,0,0,1,1,0.0
1968,PUR,0,0,0,0,0,0,1,1,0.0
1972,PUR,0,0,0,0,0,0,1,1,0.0
1976,PUR,0,0,1,1,0,0,1,1,0.0
1980,PUR,0,0,0,0,0,0,2,2,0.3333333333333333
1984,PUR,0,1,1,2,0,0,2,2,0.3333333333333333
1988,PUR,0,0,0,0,0,1,3,4,1.0
1992,PUR,0,0,1,1,0,1,3,4,0.6666666666666666
1996,PUR,0,0,1,1,0,1,4,5,1.0
2000,PUR,0,0,0,0,0,1,5,6,0.6666666666666666
2004,PUR,0,0,0,0,0,1,5,6,0.6666666666666666
2008,PUR,0,0,0,0,0,1,5,6,0.3333333333333333
2012,PUR,0,1,1,2,0,1,5,6,0.0
2016,PUR,1,0,0,1,0,2,6,8,0.6666666666666666
2020,PUR,1,0,0,1,1,2,6,9,1.0
2024,PUR,0,0,2,2,2,2,6,10,1.3333333333333333
1984,QAT,0,0,0,0,0,0,0,0,0.0
1988,QAT,0,0,0,0,0,0,0,0,0.0
1992,QAT,0,0,1,1,0,0,0,0,0.0
1996,QAT,0,0,0,0,0,0,1,1,0.3333333333333333
2000,QAT,0,0,1,1,0,0,1,1,0.3333333333333333
2004,QAT,0,0,0,0,0,0,2,2,0.6666666666666666
2008,QAT,0,0,0,0,0,0,2,2,0.3333333333333333
2012,QAT,0,0,2,2,0,0,2,2,0.3333333333333333
2016,QAT,0,1,0,1,0,0,4,4,0.6666666666666666
2020,QAT,2,0,1,3,0,1,4,5,1.0
2024,QAT,0,0,1,1,2,1,5,8,2.0
1960,RHO,0,0,0,0,0,0,0,0,0.0
2020,ROC,20,28,23,71,0,0,0,0,0.0
2016,ROT,0,0,0,0,0,0,0,0,0.0
1900,ROU,0,0,0,0,0,0,0,0,0.0
1924,ROU,0,0,1,1,0,0,0,0,0.0
1928,ROU,0,0,0,0,0,0,1,1,0.5
1932,ROU,0,0,0,0,0,0,1,1,0.3333333333333333
1936,ROU,0,1,0,1,0,0,1,1,0.3333333333333333
1952,ROU,1,1,2,4,0,1,1,2,0.3333333333333333
1956,ROU,5,3,5,13,1,2,3,6,1.6666666666666667
1960,ROU,3,1,6,10,6,5,8,19,6.0
1964,ROU,2,4,6,12,9,6,14,29,9.0
1968,ROU,4,6,5,15,11,10,20,41,11.666666666666666
1972,ROU,3,6,7,16,15,16,25,56,12.333333333333334
1976,ROU,4,9,14,27,18,22,32,72,14.333333333333334
1980,ROU,6,6,13,25,22,31,46,99,19.333333333333332
1984,ROU,19,16,17,52,28,37,59,124,22.666666666666668
1988,ROU,7,11,6,24,47,53,76,176,34.666666666666664
1992,ROU,4,6,8,18,54,64,82,200,33.666666666666664
1996,ROU,4,7,8,19,58,70,90,218,31.333333333333332
2000,ROU,11,6,9,26,62,77,98,237,20.333333333333332
2004,ROU,8,5,6,19,73,83,107,263,21.0
2008,ROU,4,1,3,8,81,88,113,282,21.333333333333332
2012,ROU,2,5,2,9,85,89,116,290,17.666666666666668
2016,ROU,1,1,2,4,87,94,118,299,12.0
2020,ROU,1,3,0,4,88,95,120,303,7.0
2024,ROU,3,4,2,9,89,98,120,307,5.666666666666667
1904,RSA,0,0,0,0,0,0,0,0,0.0
1908,RSA,1,1,0,2,0,0,0,0,0.0
1912,RSA,4,2,0,6,1,1,0,2,1.0
1920,RSA,3,4,3,10,5,3,0,8,2.6666666666666665
1924,RSA,1,1,1,3,8,7,3,18,6.0
1928,RSA,1,0,2,3,9,8,4,21,6.333333333333333
1932,RSA,2,0,3,5,10,8,6,24,5.333333333333333
1936,RSA,0,1,0,1,12,8,9,29,3.6666666666666665
1948,RSA,2,2,2,6,12,9,9,30,3.0
1952,RSA,2,4,4,10,14,11,11,36,4.0
1956,RSA,0,0,4,4,16,15,15,46,5.666666666666667
1960,RSA,0,1,2,3,16,15,19,50,6.666666666666667
1992,RSA,0,2,0,2,16,16,21,53,5.666666666666667
1996,RSA,3,1,1,5,16,18,21,55,3.0
2000,RSA,0,2,3,5,19,19,22,60,3.3333333333333335
2004,RSA,1,3,2,6,19,21,25,65,4.0
2008,RSA,0,1,0,1,20,24,27,71,5.333333333333333
2012,RSA,3,2,1,6,20,25,27,72,4.0
2016,RSA,2,6,2,10,23,27,28,78,4.333333333333333
2020,RSA,1,2,0,3,25,33,30,88,5.666666666666667
2024,RSA,1,3,2,6,26,35,30,91,6.333333333333333
1900,RUS,0,0,0,0,0,0,0,0,0.0
1908,RUS,1,2,0,3,0,0,0,0,0.0
1912,RUS,0,2,3,5,1,2,0,3,1.5
1924,RUS,0,0,0,0,1,4,3,8,2.6666666666666665
1996,RUS,26,21,16,63,1,4,3,8,2.6666666666666665
2000,RUS,32,28,29,89,27,25,19,71,22.666666666666668
2004,RUS,28,26,36,90,59,53,48,160,50.666666666666664
2008,RUS,23,21,28,72,87,79,84,250,80.66666666666667
2012,RUS,24,26,32,82,110,100,112,322,83.66666666666667
2016,RUS,19,17,20,56,134,126,144,404,81.33333333333333
1984,RWA,0,0,0,0,0,0,0,0,0.0
1988,RWA,0,0,0,0,0,0,0,0,0.0
1992,RWA,0,0,0,0,0,0,0,0,0.0
1996,RWA,0,0,0,0,0,0,0,0,0.0
2000,RWA,0,0,0,0,0,0,0,0,0.0
2004,RWA,0,0,0,0,0,0,0,0,0.0
2008,RWA,0,0,0,0,0,0,0,0,0.0
2012,RWA,0,0,0,0,0,0,0,0,0.0
2016,RWA,0,0,0,0,0,0,0,0,0.0
2020,RWA,0,0,0,0,0,0,0,0,0.0
2024,RWA,0,0,0,0,0,0,0,0,0.0
1952,SAA,0,0,0,0,0,0,0,0,0.0
1984,SAM,0,0,0,0,0,0,0,0,0.0
1988,SAM,0,0,0,0,0,0,0,0,0.0
1992,SAM,0,0,0,0,0,0,0,0,0.0
1996,SAM,0,0,0,0,0,0,0,0,0.0
2000,SAM,0,0,0,0,0,0,0,0,0.0
2004,SAM,0,0,0,0,0,0,0,0,0.0
2008,SAM,0,0,0,0,0,0,0,0,0.0
2012,SAM,0,0,0,0,0,0,0,0,0.0
2016,SAM,0,0,0,0,0,0,0,0,0.0
2020,SAM,0,0,0,0,0,0,0,0,0.0
2024,SAM,0,0,0,0,0,0,0,0,0.0
1996,SCG,1,1,2,4,0,0,0,0,0.0
2000,SCG,1,1,1,3,1,1,2,4,4.0
2004,SCG,0,2,0,2,2,2,3,7,3.5
1964,SEN,0,0,0,0,0,0,0,0,0.0
1968,SEN,0,0,0,0,0,0,0,0,0.0
1972,SEN,0,0,0,0,0,0,0,0,0.0
1976,SEN,0,0,0,0,0,0,0,0,0.0
1980,SEN,0,0,0,0,0,0,0,0,0.0
1984,SEN,0,0,0,0,0,0,0,0,0.0
1988,SEN,0,1,0,1,0,0,0,0,0.0
1992,SEN,0,0,0,0,0,1,0,1,0.3333333333333333
1996,SEN,0,0,0,0,0,1,0,1,0.3333333333333333
2000,SEN,0,0,0,0,0,1,0,1,0.3333333333333333
2004,SEN,0,0,0,0,0,1,0,1,0.0
2008,SEN,0,0,0,0,0,1,0,1,0.0
2012,SEN,0,0,0,0,0,1,0,1,0.0
2016,SEN,0,0,0,0,0,1,0,1,0.0
2020,SEN,0,0,0,0,0,1,0,1,0.0
2024,SEN,0,0,0,0,0,1,0,1,0.0
1980,SEY,0,0,0,0,0,0,0,0,0.0
1984,SEY,0,0,0,0,0,0,0,0,0.0
1992,SEY,0,0,0,0,0,0,0,0,0.0
1996,SEY,0,0,0,0,0,0,0,0,0.0
2000,SEY,0,0,0,0,0,0,0,0,0.0
2004,SEY,0,0,0,0,0,0,0,0,0.0
2008,SEY,0,0,0,0,0,0,0,0,0.0
2012,SEY,0,0,0,0,0,0,0,0,0.0
2016,SEY,0,0,0,0,0,0,0,0,0.0
2020,SEY,0,0,0,0,0,0,0,0,0.0
2024,SEY,0,0,0,0,0,0,0,0,0.0
1948,SGP,0,0,0,0,0,0,0,0,0.0
1952,SGP,0,0,0,0,0,0,0,0,0.0
1956,SGP,0,0,0,0,0,0,0,0,0.0
1960,SGP,0,1,0,1,0,0,0,0,0.0
1968,SGP,0,0,0,0,0,1,0,1,0.3333333333333333
1972,SGP,0,0,0,0,0,1,0,1,0.3333333333333333
1976,SGP,0,0,0,0,0,1,0,1,0.3333333333333333
1984,SGP,0,0,0,0,0,1,0,1,0.0
1988,SGP,0,0,0,0,0,1,0,1,0.0
