Year,Country,Gold,Silver,Bronze,Total
1964,CAN,1,1,1,3
1964,CHI,0,0,0,0
1964,DEN,0,0,0,0
1964,ESP,0,0,0,0
1964,FIN,3,4,3,10
1964,FRA,3,4,0,7
1964,GBR,1,0,0,1
1964,GER,3,3,3,9
1964,GRE,0,0,0,0
1964,HUN,0,0,0,0
1964,IND,0,0,0,0
1964,IRI,0,0,0,0
1964,ISL,0,0,0,0
1964,ITA,0,1,3,4
1964,JPN,0,0,0,0
1964,KOR,0,0,0,0
1964,LIB,0,0,0,0
1964,LIE,0,0,0,0
1964,MGL,0,0,0,0
1964,NED,1,1,0,2
1964,NOR,3,6,6,15
1964,POL,0,0,0,0
1964,PRK,0,1,0,1
1964,ROU,0,0,0,0
1964,SUI,0,0,0,0
1964,SWE,3,3,1,7
1964,TCH,0,0,1,1
1964,TUR,0,0,0,0
1964,URS,11,7,6,24
1964,USA,1,2,4,7
1964,YUG,0,0,0,0
1968,ARG,0,0,0,0
1968,AUS,0,0,0,0
1968,AUT,3,4,4,11
1968,BUL,0,0,0,0
1968,CAN,1,1,1,3
1968,CHI,0,0,0,0
1968,DEN,0,0,0,0
1968,ESP,0,0,0,0
1968,FIN,1,2,2,5
1968,FRA,4,3,2,9
1968,FRG,2,2,3,7
1968,GBR,0,0,0,0
1968,GDR,1,2,2,5
1968,GRE,0,0,0,0
1968,HUN,0,0,0,0
1968,IND,0,0,0,0
1968,IRI,0,0,0,0
1968,ISL,0,0,0,0
1968,ITA,4,0,0,4
1968,JPN,0,0,0,0
1968,KOR,0,0,0,0
1968,LIB,0,0,0,0
1968,LIE,0,0,0,0
1968,MAR,0,0,0,0
1968,MGL,0,0,0,0
1968,NED,3,3,3,9
1968,NOR,6,6,2,14
1968,NZL,0,0,0,0
1968,POL,0,0,0,0
1968,ROU,0,0,1,1
1968,SUI,0,2,4,6
1968,SWE,3,2,3,8
1968,TCH,1,2,1,4
1968,TUR,0,0,0,0
1968,URS,5,5,3,13
1968,USA,1,3,1,5
1968,YUG,0,0,0,0
1972,ARG,0,0,0,0
1972,AUS,0,0,0,0
1972,AUT,1,2,2,5
1972,BEL,0,0,0,0
1972,BUL,0,0,0,0
1972,CAN,0,1,0,1
1972,ESP,1,0,0,1
1972,FIN,0,4,1,5
1972,FRA,0,1,2,3
1972,FRG,3,1,1,5
1972,GBR,0,0,0,0
1972,GDR,4,3,7,14
1972,GRE,0,0,0,0
1972,HUN,0,0,0,0
1972,IRI,0,0,0,0
1972,ITA,2,2,1,5
1972,JPN,1,1,1,3
1972,KOR,0,0,0,0
1972,LIB,0,0,0,0
1972,LIE,0,0,0,0
1972,MGL,0,0,0,0
1972,NED,4,3,2,9
1972,NOR,2,5,5,12
1972,NZL,0,0,0,0
1972,PHI,0,0,0,0
1972,POL,1,0,0,1
1972,PRK,0,0,0,0
1972,ROU,0,0,0,0
1972,SUI,4,3,3,10
1972,SWE,1,1,2,4
1972,TCH,1,0,2,3
1972,TPE,0,0,0,0
1972,URS,8,5,3,16
1972,USA,3,2,3,8
1972,YUG,0,0,0,0
1976,AND,0,0,0,0
1976,ARG,0,0,0,0
1976,AUS,0,0,0,0
1976,AUT,2,2,2,6
1976,BEL,0,0,0,0
1976,BUL,0,0,0,0
1976,CAN,1,1,1,3
1976,CHI,0,0,0,0
1976,ESP,0,0,0,0
1976,FIN,2,4,1,7
1976,FRA,0,0,1,1
1976,FRG,2,5,3,10
1976,GBR,1,0,0,1
1976,GDR,7,5,7,19
1976,GRE,0,0,0,0
1976,HUN,0,0,0,0
1976,IRI,0,0,0,0
1976,ISL,0,0,0,0
1976,ITA,1,2,1,4
1976,JPN,0,0,0,0
1976,KOR,0,0,0,0
1976,LIB,0,0,0,0
1976,LIE,0,0,2,2
1976,NED,1,2,3,6
1976,NOR,3,3,1,7
1976,NZL,0,0,0,0
1976,POL,0,0,0,0
1976,ROU,0,0,0,0
1976,SMR,0,0,0,0
1976,SUI,1,3,1,5
1976,SWE,0,0,2,2
1976,TCH,0,1,0,1
1976,TPE,0,0,0,0
1976,TUR,0,0,0,0
1976,URS,13,6,8,27
1976,USA,3,3,4,10
1976,YUG,0,0,0,0
1980,AND,0,0,0,0
1980,ARG,0,0,0,0
1980,AUS,0,0,0,0
1980,AUT,3,2,2,7
1980,BEL,0,0,0,0
1980,BOL,0,0,0,0
1980,BUL,0,0,1,1
1980,CAN,0,1,1,2
1980,CHN,0,0,0,0
1980,CRC,0,0,0,0
1980,CYP,0,0,0,0
1980,ESP,0,0,0,0
1980,FIN,1,5,3,9
1980,FRA,0,0,1,1
1980,FRG,0,2,3,5
1980,GBR,1,0,0,1
1980,GDR,9,7,7,23
1980,GRE,0,0,0,0
1980,HUN,0,1,0,1
1980,ISL,0,0,0,0
1980,ITA,0,2,0,2
1980,JPN,0,1,0,1
1980,KOR,0,0,0,0
1980,LIB,0,0,0,0
1980,LIE,2,2,0,4
1980,MGL,0,0,0,0
1980,NED,1,2,1,4
1980,NOR,1,3,6,10
1980,NZL,0,0,0,0
1980,POL,0,0,0,0
1980,ROU,0,0,0,0
1980,SUI,1,1,3,5
1980,SWE,3,0,1,4
1980,TCH,0,0,1,1
1980,URS,10,6,6,22
1980,USA,6,4,2,12
1980,YUG,0,0,0,0
1984,AND,0,0,0,0
1984,ARG,0,0,0,0
1984,AUS,0,0,0,0
1984,AUT,0,0,1,1
1984,BEL,0,0,0,0
1984,BOL,0,0,0,0
1984,BUL,0,0,0,0
1984,CAN,2,1,1,4
1984,CHI,0,0,0,0
1984,CHN,0,0,0,0
1984,CRC,0,0,0,0
1984,CYP,0,0,0,0
1984,EGY,0,0,0,0
1984,ESP,0,0,0,0
1984,FIN,4,3,6,13
1984,FRA,0,1,2,3
1984,FRG,2,1,1,4
1984,GBR,1,0,0,1
1984,GDR,9,9,6,24
1984,GRE,0,0,0,0
1984,HUN,0,0,0,0
1984,ISL,0,0,0,0
1984,ITA,2,0,0,2
1984,IVB,0,0,0,0
1984,JPN,0,1,0,1
1984,KOR,0,0,0,0
1984,LIB,0,0,0,0
1984,LIE,0,0,2,2
1984,MAR,0,0,0,0
1984,MEX,0,0,0,0
1984,MGL,0,0,0,0
1984,MON,0,0,0,0
1984,NED,0,0,0,0
1984,NOR,3,2,4,9
1984,NZL,0,0,0,0
1984,POL,0,0,0,0
1984,PRK,0,0,0,0
1984,PUR,0,0,0,0
1984,ROU,0,0,0,0
1984,SEN,0,0,0,0
1984,SMR,0,0,0,0
1984,SUI,2,2,1,5
1984,SWE,4,2,2,8
1984,TCH,0,2,4,6
1984,TPE,0,0,0,0
1984,TUR,0,0,0,0
1984,URS,6,10,9,25
1984,USA,4,4,0,8
1984,YUG,0,1,0,1
1988,AHO,0,0,0,0
1988,AND,0,0,0,0
1988,ARG,0,0,0,0
1988,AUS,0,0,0,0
1988,AUT,3,5,2,10
1988,BEL,0,0,0,0
1988,BOL,0,0,0,0
1988,BUL,0,0,0,0
1988,CAN,0,2,3,5
1988,CHI,0,0,0,0
