Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI,Land_Area_SqKm,Surface_Area_SqKm,Internet_Users_Pct,Vehicles_Per_1000,Healthcare_Spending_Pct_GDP,Healthcare_Spending_Per_Capita_USD,Life_Expectancy_Years,Labor_Force_Total,Coastline_Length_Km,Average_Elevation_Meters,Avg_Temperature_C,Avg_Snowfall_Cm_Per_Year,Sunshine_Days_Per_Year,Number_of_Universities,Number_of_Ski_Resorts,Professional_Sports_Stadiums,Avg_Work_Hours_Per_Year,Global_Peace_Index_Score,Military_Expenditure_Pct_GDP,Active_Military_Personnel_Thousands,Healthcare_Spending_USD,Military_Expenditure_USD,Education_Spending_USD,Medals_Per_Million,Medals_Per_Billion_GDP,Medals_Per_GDP_Per_Capita,Medals_Per_HDI,Medals_Per_1000_SqKm,Medals_Per_1000_Km_Coastline,Medals_Per_100m_Elevation,Medals_Per_Degree_Temp,Medals_Per_100_Sunshine_Days,Medals_Per_100_Cm_Snowfall,Medals_Per_Million_Internet_Users,Medals_Per_1000_Vehicles,Medals_Per_University,Medals_Per_Stadium,Medals_Per_Ski_Resort,Medals_Per_Pct_Healthcare_Spending,Medals_Per_Year_Life_Expectancy,Medals_Per_100_Work_Hours,Medals_Per_Peace_Index_Point,Medals_Per_Pct_Military_Spending,Medals_Per_1000_Military_Personnel,Medals_Per_Pct_Education_Spending,Total_Athletes,Individual_Medalists,Total_Medals_Awarded
1960,AFG,0,0,0,0,0,0,0,0,0.0,AFG,9035043.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,,,,,,,,32.799,,0.0,1884.0,,,,,,,,3.448,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,12,0,0
1964,AFG,0,0,0,0,0,0,0,0,0.0,AFG,9814318.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,,652230.0,652860.0,,,,,34.673,,0.0,1884.0,,,,,,,,3.448,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,8,0,0
1968,AFG,0,0,0,0,0,0,0,0,0.0,AFG,10756922.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,,652230.0,652860.0,,,,,36.51,,0.0,1884.0,,,,,,,,3.448,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,5,0,0
1972,AFG,0,0,0,0,0,0,0,0,0.0,AFG,11853696.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,,652230.0,652860.0,,,,,38.423,,0.0,1884.0,,,,,,,,3.448,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,8,0,0
1980,AFG,0,0,0,0,0,0,0,0,0.0,AFG,13169311.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,,652230.0,652860.0,,,,,39.258,,0.0,1884.0,,,,,,,,3.448,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,11,0,0
1988,AFG,0,0,0,0,0,0,0,0,0.0,AFG,11523298.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,,652230.0,652860.0,,,,,43.238,,0.0,1884.0,,,,,,,,3.448,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,5,0,0
1996,AFG,0,0,0,0,0,0,0,0,0.0,AFG,17763266.0,,,0.319,3.0,Temperate,12.0,4.0,,0.0,,,0.0,0.0,,,0.0,652230.0,652860.0,,,,,52.83,4239207.0,0.0,1884.0,,,,,,,,3.448,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,2,0,0
2004,AFG,0,0,0,0,0,0,0,0,0.0,AFG,23560654.0,5224896718.67782,221.763653873013,0.392,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652230.0,652860.0,0.105809,,9.80847359,21.42300415,57.81,5459174.0,0.0,1884.0,,,,,,,,3.448,2.431,27.0,504739988.4187141,127017239.23105782,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,5,0,0
2008,AFG,0,0,1,1,0,0,0,0,0.0,AFG,26482622.0,10109297047.5432,381.73323802844,0.43,3.0,Temperate,12.0,4.0,,0.0377606114681544,0.0989188462162187,26.196304130202503,2.3255813953488373,0.0,0.0,0.0,0.0,652230.0,652860.0,1.84,,10.25649548,39.88624954,59.708,6273854.0,0.0,1884.0,,,,,,,,3.448,2.336,94.0,1056292469.565494,236153179.03060916,,0.0377606114681544,0.0989188462162187,26.196304130202503,2.3255813953488373,0.0015332014780062,,0.0530785562632696,,,,2.052207145008395,,,,,0.0974991898499817,0.016748174448985,,0.2900232018561485,0.4280821917808219,10.638297872340424,,4,1,1
2012,AFG,0,0,1,1,0,0,1,1,0.3333333333333333,AFG,30560034.0,19907329777.5872,651.417134470046,0.466,3.0,Temperate,12.0,4.0,2.60419988632202,0.0327224766831084,0.0502327540243923,15.351146708990704,2.145922746781116,0.0,0.0,0.0,0.0,652230.0,652860.0,5.45455,,7.89716864,52.45247269,61.735,7518518.0,0.0,1884.0,,,,,,,,3.448,1.175,338.2,1602949348.7904716,233911124.8866496,518426659.43767554,0.0327224766831084,0.0502327540243923,15.351146708990704,2.145922746781116,0.0015332014780062,,0.0530785562632696,,,,0.5999115725973435,,,,,0.1266276618350143,0.0161982667854539,,0.2900232018561485,0.851063829787234,2.9568302779420463,0.3839951016249855,6,1,1
2016,AFG,0,0,0,0,0,0,2,2,0.6666666666666666,AFG,34700612.0,18116572395.0772,522.082215583898,0.481,3.0,Temperate,12.0,4.0,4.54397010803223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652230.0,652860.0,11.0,,11.81859016,61.37234497,62.646,8883595.0,0.0,1884.0,,,,,,,,3.448,0.957,323.0,2129657930.3341217,173375597.82088882,823211634.2323267,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,3,0,0
2020,AFG,0,0,0,0,0,0,2,2,0.6666666666666666,AFG,39068979.0,19955929052.1496,510.787063366811,0.483,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652230.0,652860.0,17.0485,,15.53361416,80.0892334,61.454,9060510.0,0.0,1884.0,,,,,,,,3.448,1.359,165.0,3129004577.8306985,271201075.81871307,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,5,0,0
2024,AFG,0,0,0,0,0,0,2,2,0.3333333333333333,AFG,42647492.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,,,,,,,,,9145340.0,0.0,1884.0,,,,,,,,3.448,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,6,0,0
1972,ALB,0,0,0,0,0,0,0,0,0.0,ALB,,,,,2.0,Continental,5.0,7.0,,,,,,,,,,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5,0,0
1992,ALB,0,0,0,0,0,0,0,0,0.0,ALB,,,,0.614,2.0,Continental,5.0,7.0,,,,,0.0,,,,0.0,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,7,0,0
1996,ALB,0,0,0,0,0,0,0,0,0.0,ALB,,,,0.645,2.0,Continental,5.0,7.0,,,,,0.0,,,,0.0,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,7,0,0
2000,ALB,0,0,0,0,0,0,0,0,0.0,ALB,,,,0.677,2.0,Continental,5.0,7.0,,,,,0.0,,,,0.0,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,4,0,0
2004,ALB,0,0,0,0,0,0,0,0,0.0,ALB,,,,0.7,2.0,Continental,5.0,7.0,,,,,0.0,,,,0.0,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,7,0,0
2008,ALB,0,0,0,0,0,0,0,0,0.0,ALB,,,,0.736,2.0,Continental,5.0,7.0,,,,,0.0,,,,0.0,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,11,0,0
2012,ALB,0,0,0,0,0,0,0,0,0.0,ALB,,,,0.778,2.0,Continental,5.0,7.0,,,,,0.0,,,,0.0,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,9,0,0
2016,ALB,0,0,0,0,0,0,0,0,0.0,ALB,,,,0.798,2.0,Continental,5.0,7.0,,,,,0.0,,,,0.0,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,6,0,0
2020,ALB,0,0,0,0,0,0,0,0,0.0,ALB,,,,0.794,2.0,Continental,5.0,7.0,,,,,0.0,,,,0.0,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,10,0,0
2024,ALB,0,0,2,2,0,0,0,0,0.0,ALB,,,,,2.0,Continental,5.0,7.0,,,,,,,,,,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,,,5.524861878453039,,,,,,,,,,,,,,,,,8,2,2
1964,ALG,0,0,0,0,0,0,0,0,0.0,DZA,12179813.0,2909316435.2874,238.863801545015,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2381740.0,2381740.0,,,,,42.987,,998.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,1,0,0
1968,ALG,0,0,0,0,0,0,0,0,0.0,DZA,13172614.0,3852147026.77302,292.436036368561,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2381740.0,2381740.0,,,,,42.806,,998.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,3,0,0
1972,ALG,0,0,0,0,0,0,0,0,0.0,DZA,14427072.0,6766743956.88889,469.030996510511,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2381740.0,2381740.0,,,,,44.384,,998.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,5,0,0
1980,ALG,0,0,0,0,0,0,0,0,0.0,DZA,18607174.0,42345829079.2062,2275.77971158899,,4.0,Mediterranean/Subtropical,18.0,2.0,6.59742021560669,0.0,0.0,0.0,,0.0,0.0,0.0,,2381740.0,2381740.0,,,,,54.512,,998.0,,,,,,,,,,,,,,2793732288.1378064,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,54,0,0
1984,ALG,0,0,2,2,0,0,0,0,0.0,DZA,21271969.0,53698548293.0745,2524.38071403143,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0940204454039962,0.0372449547254881,7.922735223269886,,0.0,0.0,0.0,,2381740.0,2381740.0,,,,,62.722,,998.0,,,,,,,,,,,,,,,0.0940204454039962,0.0372449547254881,7.922735223269886,,0.0008397222198896,2.004008016032064,,,,,,,,,,,0.0318867383055387,,,,,,33,2,2
1988,ALG,0,0,0,0,0,0,2,2,0.6666666666666666,DZA,24109536.0,59089396860.4342,2450.87242078961,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2381740.0,2381740.0,,,,,66.91,,998.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,42,0,0
1992,ALG,1,0,1,2,0,0,2,2,0.6666666666666666,DZA,26628568.0,48003133346.9957,1802.69300801289,0.599,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0751073058078076,0.041663946924939,11.09451243839128,3.33889816360601,0.0375536529039038,0.0208319734624695,5.547256219195639,1.669449081803005,2381740.0,2381740.0,,,,,67.725,7198682.0,998.0,,,,,,,,,,,,,,,0.0751073058078076,0.041663946924939,11.09451243839128,3.33889816360601,0.0008397222198896,2.004008016032064,,,,,,,,,,,0.02953119232189,,,,,,35,2,2
1996,ALG,2,0,1,3,1,0,3,4,1.3333333333333333,DZA,29033044.0,46941554225.3581,1616.83198721285,0.617,4.0,Mediterranean/Subtropical,18.0,2.0,,0.1033305360609104,0.0639092601322387,18.55480361426732,4.862236628849271,0.0688870240406069,0.0426061734214924,12.369869076178212,3.2414910858995136,2381740.0,2381740.0,0.00174,,,,68.219,8155850.0,998.0,,,,,,,,,,,,,,,0.1033305360609104,0.0639092601322387,18.55480361426732,4.862236628849271,0.0012595833298344,3.006012024048096,,,,,5938.536555224739,,,,,,0.043976018411293,,,,,,45,3,3
2000,ALG,1,1,3,5,3,0,4,7,1.6666666666666667,DZA,30903893.0,54790398570.3282,1772.92869122761,0.649,4.0,Mediterranean/Subtropical,18.0,2.0,,0.1617919140478515,0.0912568648972697,28.20192388300684,7.704160246533128,0.0323583828095703,0.0182513729794539,5.640384776601369,1.5408320493066254,2381740.0,2381740.0,0.491706,,3.21485448,61.85785294,70.576,9070882.0,998.0,,,,,,,,,,3.433,305.2,1911648468.4674957,1880954382.919367,,0.1617919140478515,0.0912568648972697,28.20192388300684,7.704160246533128,0.0020993055497241,5.01002004008016,,,,,32.904197640023,,,,,1.5552803497345236,0.0708456132396282,,,1.4564520827264784,16.382699868938403,,47,5,5
2004,ALG,0,0,0,0,4,1,7,12,3.333333333333333,DZA,32628286.0,91913680985.1708,2816.99384960555,0.678,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381740.0,2381740.0,4.63448,89.0,3.29030514,92.6876297,72.536,9976118.0,998.0,,,,,,,,,,3.049,318.0,3024238490.5136943,2802448133.237858,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,61,0,0
2008,ALG,0,1,1,2,4,1,7,12,2.6666666666666665,DZA,34816961.0,180383848331.135,5180.91881514686,0.705,4.0,Mediterranean/Subtropical,18.0,2.0,4.11142015457153,0.0574432673776439,0.0110874671901253,3.8603191274737374,2.8368794326241136,0.0,0.0,0.0,0.0,2381740.0,2381740.0,10.18,109.0,3.98331022,206.37207031,73.618,10864872.0,998.0,,,,,,,,,,2.867,334.0,7185248323.472528,5171604931.653641,7416337895.878024,0.0574432673776439,0.0110874671901253,3.8603191274737374,2.8368794326241136,0.0008397222198896,2.004008016032064,,,,,0.5642757109788202,0.0005270024530059,,,,0.5020949636204834,0.02716726887446,,,0.6975933031042902,5.9880239520958085,0.4864499187163296,56,2,2
2012,ALG,1,0,0,1,4,2,8,14,2.333333333333333,DZA,37646166.0,227143746075.934,6033.64884689543,0.729,4.0,Mediterranean/Subtropical,18.0,2.0,7.02950889772261,0.0265631299612289,0.0044024984939083,1.6573718911642374,1.3717421124828533,0.0265631299612289,0.0044024984939083,1.6573718911642374,1.3717421124828533,2381740.0,2381740.0,18.2,,5.63658524,340.09176636,74.609,11731223.0,998.0,,,,,,,,,,4.106,317.2,12803151091.621777,9326522213.87785,15967089841.02823,0.0265631299612289,0.0044024984939083,1.6573718911642374,1.3717421124828533,0.0004198611099448,1.002004008016032,,,,,0.1459512635232362,,,,,0.1774123795562435,0.0134032087281695,,,0.2435460301997077,3.152585119798234,0.1422574485002751,38,1,1
2016,ALG,0,2,0,2,5,2,8,15,1.0,DZA,40850721.0,180763839522.151,4424.98529027556,0.743,4.0,Mediterranean/Subtropical,18.0,2.0,6.50210843472458,0.0489587442042944,0.0110641597638498,4.519789036124576,2.6917900403768504,0.0,0.0,0.0,0.0,2381741.0,2381741.0,42.9455,,6.00080872,265.53491211,75.31,12191778.0,998.0,,,,,,,,,,5.653,317.2,10847292610.365131,10218579848.187197,11753460856.501783,0.0489587442042944,0.0110641597638498,4.519789036124576,2.6917900403768504,0.0008397218673231,2.004008016032064,,,,,0.1140020356132643,,,,,0.3332884104994434,0.0265568981542955,,,0.3537944454272068,6.305170239596469,0.3075925324959175,64,1,2
2020,ALG,0,0,0,0,5,4,8,17,1.6666666666666667,DZA,44042091.0,164873415325.201,3743.5419522929,0.736,4.0,Mediterranean/Subtropical,18.0,2.0,6.19391724496515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381740.0,2381740.0,63.4727,,5.63830757,211.07240295,73.257,11586994.0,998.0,,,,,,,,,,5.886,326.0,9296069978.312569,9704449226.04133,10212122904.19064,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,45,0,0
2024,ALG,2,0,1,3,5,4,8,17,1.0,DZA,46814308.0,269322281664.773,5752.99076651465,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0640829722400254,0.0111390709355942,5.214678976127573,,0.0427219814933502,0.0074260472903961,3.476452650751716,,,,,,,,,13425069.0,998.0,,,,,,,,,,,,,,,0.0640829722400254,0.0111390709355942,5.214678976127573,,,3.006012024048096,,,,,,,,,,,,,,,,,46,3,3
1976,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,3,0,0
1980,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,2,0,0
1984,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,2,0,0
1988,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,3,0,0
1992,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,8,0,0
1996,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,8,0,0
2000,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,0.818,,,,,,,,,0.0,,,,0.0,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,5,0,0
2004,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,0.833,,,,,,,,,0.0,,,,0.0,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,6,0,0
2008,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,0.85,,,,,,,,,0.0,,,,0.0,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,5,0,0
2012,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,0.869,,,,,,,,,0.0,,,,0.0,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,6,0,0
2016,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,0.871,,,,,,,,,0.0,,,,0.0,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,4,0,0
2020,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,0.848,,,,,,,,,0.0,,,,0.0,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,3,0,0
2024,AND,0,0,0,0,0,0,0,0,0.0,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,,,,,5.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,2,0,0
1980,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,,5.0,Tropical,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0
1988,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,,5.0,Tropical,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,0
1992,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,,5.0,Tropical,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0
1996,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,,5.0,Tropical,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0
2000,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,0.375,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,30,0,0
2004,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,0.433,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,30,0,0
2008,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,0.486,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,32,0,0
2012,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,0.541,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,33,0,0
2016,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,0.596,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,26,0,0
2020,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,0.59,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,20,0,0
2024,ANG,0,0,0,0,0,0,0,0,0.0,AGO,,,,,5.0,Tropical,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0
1960,ARG,0,1,1,2,13,15,10,38,4.666666666666667,ARG,20386045.0,15865474315.4056,778.251706763404,,3.0,Temperate,12.0,4.0,,0.0981063271468301,0.1260598933407223,25.69862658339173,,0.0,0.0,0.0,,,,,,,,64.242,,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,,,,,,0.0981063271468301,0.1260598933407223,25.69862658339173,,,0.4008819402685909,0.3361344537815126,0.1342281879194631,0.7692307692307693,4.0,,,0.0153846153846153,0.08,0.1,,0.0311322810622334,,,,,,92,4,4
1964,ARG,0,1,0,1,13,16,11,40,3.0,ARG,21769453.0,25605249381.7597,1176.20086190313,,3.0,Temperate,12.0,4.0,,0.045935926823701,0.0390544917212314,8.50194921964237,,0.0,0.0,0.0,,2736690.0,2780400.0,,,,,64.816,,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,,,,,,0.045935926823701,0.0390544917212314,8.50194921964237,,0.0003654049234659,0.2004409701342954,0.1680672268907563,0.0671140939597315,0.3846153846153846,2.0,,,0.0076923076923076,0.04,0.05,,0.0154282893112811,,,,,,102,1,1
1968,ARG,0,0,2,2,13,17,11,41,1.6666666666666667,ARG,23150583.0,26436857247.4982,1141.95211617341,,3.0,Temperate,12.0,4.0,,0.0863909129199899,0.0756519574651509,17.513869204094473,,0.0,0.0,0.0,,2736690.0,2780400.0,,,,,65.234,,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,,,,,,0.0863909129199899,0.0756519574651509,17.513869204094473,,0.0007308098469318,0.4008819402685909,0.3361344537815126,0.1342281879194631,0.7692307692307693,4.0,,,0.0153846153846153,0.08,0.1,,0.0306588588772725,,,,,,89,2,2
1972,ARG,0,1,0,1,13,17,13,43,1.6666666666666667,ARG,24644328.0,34733000536.2862,1409.37097316211,,3.0,Temperate,12.0,4.0,1.93620002269745,0.0405772882100903,0.0287910628094247,7.095363953440646,,0.0,0.0,0.0,,2736690.0,2780400.0,,,,,65.953,,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,,,,,672500364.2670789,0.0405772882100903,0.0287910628094247,7.095363953440646,,0.0003654049234659,0.2004409701342954,0.1680672268907563,0.0671140939597315,0.3846153846153846,2.0,,,0.0076923076923076,0.04,0.05,,0.015162312555911,,,,,0.5164755646510286,92,1,1
1976,ARG,0,0,0,0,13,18,13,44,1.3333333333333333,ARG,26282283.0,51169499892.1722,1946.91990388248,,3.0,Temperate,12.0,4.0,1.16563999652863,0.0,0.0,0.0,,0.0,0.0,0.0,,2736690.0,2780400.0,,,,,67.03,,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,,,,,596452156.7668334,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,0.0,69,0,0
1984,ARG,0,0,0,0,13,18,13,44,1.0,ARG,29863093.0,116915052107.031,3915.03492645691,,3.0,Temperate,12.0,4.0,2.56972002983093,0.0,0.0,0.0,,0.0,0.0,0.0,,2736690.0,2780400.0,,,,,69.353,,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,,,,,3004389511.8816447,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,0.0,81,0,0
1988,ARG,0,1,1,2,13,18,13,44,0.3333333333333333,ARG,31780532.0,126890235049.092,3992.70330179156,,3.0,Temperate,12.0,4.0,,0.0629316085709326,0.0157616541511348,5.009137541230732,,0.0,0.0,0.0,,2736690.0,2780400.0,,,,,71.097,,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,,,,,,0.0629316085709326,0.0157616541511348,5.009137541230732,,0.0007308098469318,0.4008819402685909,0.3361344537815126,0.1342281879194631,0.7692307692307693,4.0,,,0.0153846153846153,0.08,0.1,,0.0281305821623978,,,,,,118,13,13
1992,ARG,0,0,1,1,13,19,14,46,0.6666666666666666,ARG,33693527.0,228778917308.17,6789.99611136495,0.735,3.0,Temperate,12.0,4.0,,0.0296792912181618,0.0043710321377777,1.47275489352081,1.3605442176870748,0.0,0.0,0.0,0.0,2736690.0,2780400.0,0.00299,,,,72.096,14312489.0,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,,,,,,0.0296792912181618,0.0043710321377777,1.47275489352081,1.3605442176870748,0.0003654049234659,0.2004409701342954,0.1680672268907563,0.0671140939597315,0.3846153846153846,2.0,992.6184353900292,,0.0076923076923076,0.04,0.05,,0.0138703950288504,,,,,,84,2,2
