WB_Code,Year,Military_Expenditure_Pct_GDP,Active_Military_Personnel,Active_Military_Personnel_Thousands
GNB,2020,1.519,4000.0,4.0
GNB,2021,1.46,,
GNB,2022,1.398,,
GNB,2023,1.235,,
GNQ,2000,,1600.0,1.6
GNQ,2001,,1600.0,1.6
GNQ,2002,,2300.0,2.3
GNQ,2003,,1300.0,1.3
GNQ,2004,,1000.0,1.0
GNQ,2005,,1000.0,1.0
GNQ,2007,1.502,1000.0,1.0
GNQ,2008,1.482,1000.0,1.0
GNQ,2009,2.475,1320.0,1.3
GNQ,2010,,1320.0,1.3
GNQ,2011,,1320.0,1.3
GNQ,2012,,1320.0,1.3
GNQ,2013,,1320.0,1.3
GNQ,2014,0.766,1320.0,1.3
GNQ,2015,1.041,1320.0,1.3
GNQ,2016,1.239,1450.0,1.4
GNQ,2017,1.129,1000.0,1.0
GNQ,2018,1.142,1450.0,1.4
GNQ,2019,1.308,1000.0,1.0
GNQ,2020,1.641,1000.0,1.0
GNQ,2021,1.345,,
GNQ,2022,1.303,,
GNQ,2023,1.519,,
GNQ,2024,0.982,,
GRC,2000,3.595,163200.0,163.2
GRC,2001,3.356,163200.0,163.2
GRC,2002,3.166,181600.0,181.6
GRC,2003,2.563,181600.0,181.6
GRC,2004,2.672,167000.0,167.0
GRC,2005,2.902,168000.0,168.0
GRC,2006,2.83,161000.0,161.0
GRC,2007,2.719,161000.0,161.0
GRC,2008,3.024,161000.0,161.0
GRC,2009,3.269,142936.0,142.9
GRC,2010,2.757,149647.0,149.6
GRC,2011,2.52,148350.0,148.4
GRC,2012,2.476,147350.0,147.4
GRC,2013,2.391,148950.0,149.0
GRC,2014,2.368,146950.0,147.0
GRC,2015,2.477,146950.0,147.0
GRC,2016,2.573,145350.0,145.4
GRC,2017,2.557,146000.0,146.0
GRC,2018,2.701,147850.0,147.8
GRC,2019,2.596,147000.0,147.0
GRC,2020,3.023,147000.0,147.0
GRC,2021,3.802,,
GRC,2022,4.0,,
GRC,2023,2.883,,
GRC,2024,3.128,,
GTM,2000,0.918,52900.0,52.9
GTM,2001,1.052,50400.0,50.4
GTM,2002,0.762,50400.0,50.4
GTM,2003,0.816,50400.0,50.4
GTM,2004,0.479,48000.0,48.0
GTM,2005,0.384,48000.0,48.0
GTM,2006,0.432,35000.0,35.0
GTM,2007,0.398,35000.0,35.0
GTM,2008,0.468,35000.0,35.0
GTM,2009,0.395,34212.0,34.2
GTM,2010,0.441,34212.0,34.2
GTM,2011,0.46,42300.0,42.3
GTM,2012,0.476,42300.0,42.3
GTM,2013,0.471,42300.0,42.3
GTM,2014,0.425,43050.0,43.0
GTM,2015,0.406,43050.0,43.0
GTM,2016,0.44,43050.0,43.0
GTM,2017,0.384,43000.0,43.0
GTM,2018,0.372,43050.0,43.0
GTM,2019,0.43,43000.0,43.0
GTM,2020,0.441,43000.0,43.0
GTM,2021,0.391,,
GTM,2022,0.462,,
GTM,2023,0.419,,
GTM,2024,0.368,,
GUY,2000,1.766,3100.0,3.1
GUY,2001,2.018,3100.0,3.1
GUY,2002,2.293,3100.0,3.1
GUY,2003,2.2,3100.0,3.1
GUY,2004,2.809,2000.0,2.0
GUY,2005,1.41,3000.0,3.0
GUY,2006,0.806,3000.0,3.0
GUY,2007,0.914,3000.0,3.0
GUY,2008,1.009,3000.0,3.0
GUY,2009,0.981,2600.0,2.6
GUY,2010,0.905,2600.0,2.6
GUY,2011,0.878,1100.0,1.1
GUY,2012,0.826,1100.0,1.1
GUY,2013,0.844,1100.0,1.1
GUY,2014,0.952,3400.0,3.4
GUY,2015,1.085,3400.0,3.4
GUY,2016,1.154,3400.0,3.4
GUY,2017,1.253,3000.0,3.0
GUY,2018,1.291,3400.0,3.4
GUY,2019,1.3,3000.0,3.0
GUY,2020,1.403,3000.0,3.0
GUY,2021,0.955,,
GUY,2022,0.601,,
GUY,2023,0.64,,
GUY,2024,0.868,,
HND,2000,0.73,14300.0,14.3
HND,2001,0.823,14300.0,14.3
HND,2002,0.809,14300.0,14.3
HND,2003,0.998,18000.0,18.0
HND,2004,0.683,20000.0,20.0
HND,2005,0.641,20000.0,20.0
HND,2006,0.692,20000.0,20.0
HND,2007,0.776,20000.0,20.0
HND,2008,0.954,20000.0,20.0
HND,2009,1.075,20000.0,20.0
HND,2010,1.074,20000.0,20.0
HND,2011,1.131,20000.0,20.0
HND,2012,1.132,20000.0,20.0
HND,2013,1.38,20000.0,20.0
HND,2014,1.193,18700.0,18.7
HND,2015,1.352,18700.0,18.7
HND,2016,1.532,22700.0,22.7
HND,2017,1.59,23000.0,23.0
HND,2018,1.49,22950.0,23.0
HND,2019,1.578,23000.0,23.0
HND,2020,1.467,23000.0,23.0
HND,2021,1.498,,
HND,2022,1.466,,
HND,2023,1.524,,
HND,2024,1.575,,
HRV,2000,3.025,101000.0,101.0
HRV,2001,2.706,68300.0,68.3
HRV,2002,2.709,61000.0,61.0
HRV,2003,2.026,30800.0,30.8
HRV,2004,1.74,30000.0,30.0
HRV,2005,1.744,31000.0,31.0
HRV,2006,1.666,21000.0,21.0
HRV,2007,1.611,21000.0,21.0
HRV,2008,1.823,22000.0,22.0
HRV,2009,1.772,21600.0,21.6
HRV,2010,1.666,21600.0,21.6
HRV,2011,1.737,21600.0,21.6
HRV,2012,1.656,19550.0,19.6
HRV,2013,1.608,19550.0,19.6
HRV,2014,1.808,19550.0,19.6
HRV,2015,1.749,18550.0,18.6
HRV,2016,1.589,18550.0,18.6
HRV,2017,1.633,18000.0,18.0
HRV,2018,1.542,18200.0,18.2
HRV,2019,1.604,18000.0,18.0
HRV,2020,1.697,20000.0,20.0
HRV,2021,1.972,,
HRV,2022,1.803,,
HRV,2023,1.707,,
HRV,2024,1.793,,
HTI,2000,,5300.0,5.3
HTI,2001,,8300.0,8.3
HTI,2002,,5300.0,5.3
HTI,2003,,5300.0,5.3
HTI,2006,,5400.0,5.4
HTI,2010,,0.0,0.0
HTI,2011,,50.0,0.0
HTI,2012,,50.0,0.0
HTI,2013,0.03,120.0,0.1
HTI,2014,0.036,120.0,0.1
HTI,2015,0.04,120.0,0.1
HTI,2016,0.049,200.0,0.2
HTI,2017,0.044,0.0,0.0
HTI,2018,0.061,500.0,0.5
HTI,2019,0.086,1000.0,1.0
HTI,2020,0.103,1000.0,1.0
HTI,2021,0.154,,
HTI,2022,0.069,,
HTI,2023,0.054,,
HTI,2024,0.068,,
HUN,2000,1.514,57800.0,57.8
HUN,2001,1.571,47800.0,47.8
HUN,2002,1.596,47400.0,47.4
HUN,2003,1.645,47400.0,47.4
HUN,2004,1.473,46000.0,46.0
HUN,2005,1.411,44000.0,44.0
HUN,2006,1.22,44000.0,44.0
HUN,2007,1.268,37000.0,37.0
HUN,2008,1.18,37000.0,37.0
HUN,2009,1.128,41626.0,41.6
HUN,2010,1.024,34587.0,34.6
HUN,2011,1.039,38500.0,38.5
HUN,2012,1.029,38500.0,38.5
HUN,2013,0.944,38500.0,38.5
HUN,2014,0.857,38500.0,38.5
HUN,2015,0.904,38500.0,38.5
HUN,2016,0.999,39800.0,39.8
HUN,2017,1.192,40000.0,40.0
HUN,2018,1.002,39800.0,39.8
HUN,2019,1.328,40000.0,40.0
HUN,2020,1.746,46000.0,46.0
HUN,2021,1.315,,
HUN,2022,1.833,,
HUN,2023,2.05,,
HUN,2024,2.156,,
IDN,2000,0.684,492000.0,492.0
IDN,2001,0.573,492000.0,492.0
IDN,2002,0.7,492000.0,492.0
IDN,2003,0.909,497000.0,497.0
IDN,2004,0.946,582000.0,582.0
IDN,2005,0.751,582000.0,582.0
IDN,2006,0.659,582000.0,582.0
IDN,2007,0.712,582000.0,582.0
IDN,2008,0.579,582000.0,582.0
IDN,2009,0.571,582000.0,582.0
IDN,2010,0.618,582000.0,582.0
IDN,2011,0.654,676500.0,676.5
IDN,2012,0.712,676500.0,676.5
IDN,2013,0.919,676500.0,676.5
IDN,2014,0.778,676500.0,676.5
IDN,2015,0.882,675500.0,675.5
IDN,2016,0.792,675500.0,675.5
IDN,2017,0.865,676000.0,676.0
IDN,2018,0.719,675500.0,675.5
IDN,2019,0.729,676000.0,676.0
IDN,2020,0.886,676000.0,676.0
IDN,2021,0.742,,
IDN,2022,0.768,,
IDN,2023,0.821,,
IDN,2024,0.779,,
IND,2000,2.949,2372000.0,2372.0
IND,2001,2.924,2352700.0,2352.7
IND,2002,2.827,2387700.0,2387.7
IND,2003,2.678,2414700.0,2414.7
IND,2004,2.829,2617000.0,2617.0
IND,2005,2.911,3047000.0,3047.0
IND,2006,2.68,2589000.0,2589.0
IND,2007,2.478,2576000.0,2576.0
IND,2008,2.631,2582000.0,2582.0
IND,2009,3.129,2625586.0,2625.6
IND,2010,2.889,2625586.0,2625.6
IND,2011,2.704,2647150.0,2647.2
IND,2012,2.618,2728700.0,2728.7
IND,2013,2.549,2749700.0,2749.7
IND,2014,2.544,2749700.0,2749.7
IND,2015,2.457,2798800.0,2798.8
IND,2016,2.543,2981050.0,2981.0
IND,2017,2.532,3031000.0,3031.0
IND,2018,2.424,3026500.0,3026.5
IND,2019,2.546,3045000.0,3045.0
IND,2020,2.804,3068000.0,3068.0
IND,2021,2.469,,
IND,2022,2.383,,
IND,2023,2.357,,
IND,2024,2.271,,
IRL,2000,0.695,11500.0,11.5
IRL,2001,0.703,10500.0,10.5
IRL,2002,0.634,10500.0,10.5
IRL,2003,0.587,10400.0,10.4
IRL,2004,0.568,10000.0,10.0
IRL,2005,0.541,10000.0,10.0
IRL,2006,0.513,10000.0,10.0
IRL,2007,0.509,10000.0,10.0
IRL,2008,0.577,10000.0,10.0
IRL,2009,0.601,10460.0,10.5
IRL,2010,0.575,10460.0,10.5
IRL,2011,0.54,8900.0,8.9
IRL,2012,0.509,9350.0,9.4
IRL,2013,0.492,9350.0,9.4
IRL,2014,0.448,9100.0,9.1
IRL,2015,0.33,9100.0,9.1
IRL,2016,0.328,9100.0,9.1
IRL,2017,0.296,9000.0,9.0
IRL,2018,0.28,8650.0,8.6
IRL,2019,0.273,9000.0,9.0
IRL,2020,0.263,9000.0,9.0
IRL,2021,0.239,,
IRL,2022,0.213,,
IRL,2023,0.23,,
IRL,2024,0.239,,
IRN,2000,2.295,753000.0,753.0
IRN,2001,2.418,553000.0,553.0
IRN,2002,2.175,560000.0,560.0
IRN,2003,2.405,580000.0,580.0
IRN,2004,2.835,460000.0,460.0
IRN,2005,3.037,585000.0,585.0
IRN,2006,3.315,585000.0,585.0
IRN,2007,2.654,563000.0,563.0
IRN,2008,2.683,563000.0,563.0
IRN,2009,3.048,563000.0,563.0
IRN,2010,2.787,563000.0,563.0
IRN,2011,2.382,563000.0,563.0
IRN,2012,2.687,563000.0,563.0
IRN,2013,2.181,563000.0,563.0
IRN,2014,2.117,563000.0,563.0
IRN,2015,2.557,563000.0,563.0
IRN,2016,2.796,563000.0,563.0
IRN,2017,2.844,563000.0,563.0
IRN,2018,2.356,650000.0,650.0
IRN,2019,2.147,650000.0,650.0
IRN,2020,2.177,650000.0,650.0
IRN,2021,2.224,,
IRN,2022,2.111,,
IRN,2023,2.352,,
IRN,2024,2.01,,
IRQ,2000,,479000.0,479.0
IRQ,2001,,467000.0,467.0
IRQ,2002,,432000.0,432.0
IRQ,2003,,432000.0,432.0
IRQ,2004,1.676,179000.0,179.0
IRQ,2005,2.243,227000.0,227.0
IRQ,2006,1.898,495000.0,495.0
IRQ,2007,2.24,362000.0,362.0
IRQ,2008,2.368,577000.0,577.0
IRQ,2009,2.899,659395.0,659.4
IRQ,2010,2.709,802400.0,802.4
IRQ,2011,2.303,802400.0,802.4
IRQ,2012,1.9,802400.0,802.4
IRQ,2013,3.316,177600.0,177.6
IRQ,2014,2.951,209000.0,209.0
IRQ,2015,5.413,209000.0,209.0
IRQ,2016,3.55,209000.0,209.0
IRQ,2017,3.909,209000.0,209.0
IRQ,2018,2.752,336000.0,336.0
IRQ,2019,3.237,341000.0,341.0
IRQ,2020,3.112,459000.0,459.0
IRQ,2021,2.261,,
IRQ,2022,1.64,,
IRQ,2023,2.263,,
IRQ,2024,2.357,,
ISL,2000,,100.0,0.1
ISL,2001,,100.0,0.1
ISL,2002,,100.0,0.1
ISL,2003,,100.0,0.1
ISL,2006,,130.0,0.1
ISL,2007,,130.0,0.1
ISL,2008,,130.0,0.1
ISL,2009,,130.0,0.1
ISL,2010,,130.0,0.1
ISL,2011,,180.0,0.2
ISL,2012,,180.0,0.2
ISL,2013,,200.0,0.2
ISL,2014,,200.0,0.2
ISL,2015,,250.0,0.2
ISL,2016,,250.0,0.2
ISL,2017,,0.0,0.0
ISL,2019,,0.0,0.0
ISL,2020,,0.0,0.0
ISR,2000,6.1,180500.0,180.5
ISR,2001,6.3,171500.0,171.5
ISR,2002,6.368,169500.0,169.5
ISR,2003,6.253,175000.0,175.0
ISR,2004,6.139,176000.0,176.0
ISR,2005,6.051,176000.0,176.0
ISR,2006,5.856,185000.0,185.0
ISR,2007,6.162,185000.0,185.0
ISR,2008,6.24,185000.0,185.0
ISR,2009,5.977,184550.0,184.6
ISR,2010,5.789,184550.0,184.6
ISR,2011,5.632,184550.0,184.6
ISR,2012,5.51,184500.0,184.5
ISR,2013,5.444,184500.0,184.5
ISR,2014,5.631,184500.0,184.5
ISR,2015,5.423,184500.0,184.5
ISR,2016,5.417,184500.0,184.5
ISR,2017,5.427,178000.0,178.0
ISR,2018,5.288,177500.0,177.5
ISR,2019,5.072,178000.0,178.0
ISR,2020,5.276,178000.0,178.0
ISR,2021,4.935,,
ISR,2022,4.433,,
ISR,2023,5.385,,
ISR,2024,8.777,,
ITA,2000,1.733,503100.0,503.1
ITA,2001,1.667,482600.0,482.6
ITA,2002,1.694,471100.0,471.1
ITA,2003,1.698,454300.0,454.3
ITA,2004,1.672,445000.0,445.0
ITA,2005,1.595,445000.0,445.0
ITA,2006,1.514,440000.0,440.0
ITA,2007,1.441,436000.0,436.0
ITA,2008,1.53,436000.0,436.0
ITA,2009,1.547,326939.0,326.9
ITA,2010,1.494,359378.0,359.4
ITA,2011,1.468,367550.0,367.6
ITA,2012,1.419,359500.0,359.5
ITA,2013,1.392,359500.0,359.5
ITA,2014,1.276,356850.0,356.8
ITA,2015,1.202,356850.0,356.8
ITA,2016,1.328,356850.0,356.8
ITA,2017,1.351,347000.0,347.0
ITA,2018,1.354,341500.0,341.5
ITA,2019,1.306,342000.0,342.0
ITA,2020,1.73,338000.0,338.0
ITA,2021,1.663,,
ITA,2022,1.652,,
ITA,2023,1.606,,
ITA,2024,1.609,,
JAM,2000,0.486,3000.0,3.0
JAM,2001,0.504,3000.0,3.0
JAM,2002,0.585,3000.0,3.0
JAM,2003,0.582,3000.0,3.0
JAM,2004,0.536,2000.0,2.0
JAM,2005,0.528,3000.0,3.0
JAM,2006,0.609,3000.0,3.0
JAM,2007,0.652,3000.0,3.0
JAM,2008,0.953,3000.0,3.0
JAM,2009,0.947,2830.0,2.8
JAM,2010,0.874,2830.0,2.8
JAM,2011,0.925,2830.0,2.8
JAM,2012,0.93,2830.0,2.8
JAM,2013,0.899,2830.0,2.8
JAM,2014,0.873,3450.0,3.4
JAM,2015,0.872,3450.0,3.4
JAM,2016,0.955,3950.0,4.0
JAM,2017,0.973,4000.0,4.0
JAM,2018,1.333,5950.0,6.0
JAM,2019,1.682,6000.0,6.0
JAM,2020,1.706,6000.0,6.0
JAM,2021,1.467,,
JAM,2022,1.29,,
JAM,2023,1.186,,
JAM,2024,1.274,,
JOR,2000,6.257,148900.0,148.9
JOR,2001,5.893,110200.0,110.2
JOR,2002,5.446,110200.0,110.2
JOR,2003,6.001,110500.0,110.5
JOR,2004,5.142,110000.0,110.0
JOR,2005,4.795,111000.0,111.0
JOR,2006,4.659,111000.0,111.0
JOR,2007,5.851,111000.0,111.0
JOR,2008,5.995,111000.0,111.0
JOR,2009,6.391,110500.0,110.5
JOR,2010,5.741,110500.0,110.5
JOR,2011,5.402,110500.0,110.5
JOR,2012,4.656,115500.0,115.5
JOR,2013,4.194,115500.0,115.5
JOR,2014,4.203,115500.0,115.5
JOR,2015,4.185,115500.0,115.5
JOR,2016,4.436,115500.0,115.5
JOR,2017,4.684,116000.0,116.0
JOR,2018,4.56,101500.0,101.5
JOR,2019,4.566,116000.0,116.0
JOR,2020,4.705,116000.0,116.0
JOR,2021,4.702,,
JOR,2022,4.798,,
JOR,2023,4.812,,
JOR,2024,4.8,,
JPN,2000,0.916,248700.0,248.7
JPN,2001,0.932,252100.0,252.1
JPN,2002,0.94,252100.0,252.1
JPN,2003,0.94,252100.0,252.1
JPN,2004,0.927,251000.0,251.0
JPN,2005,0.917,272000.0,272.0
JPN,2006,0.903,252000.0,252.0
JPN,2007,0.885,242000.0,242.0
JPN,2008,0.908,242000.0,242.0
JPN,2009,0.973,260382.0,260.4
JPN,2010,0.949,260382.0,260.4
JPN,2011,0.975,260086.0,260.1
JPN,2012,0.957,259800.0,259.8
JPN,2013,0.941,259800.0,259.8
JPN,2014,0.958,259800.0,259.8
JPN,2015,0.947,259800.0,259.8
JPN,2016,0.93,260890.0,260.9
JPN,2017,0.913,261000.0,261.0
JPN,2018,0.962,261150.0,261.2
JPN,2019,0.992,261000.0,261.0
JPN,2020,1.017,261000.0,261.0
JPN,2021,1.064,,
JPN,2022,1.01,,
JPN,2023,1.14,,
JPN,2024,1.371,,
KAZ,2000,0.785,98500.0,98.5
KAZ,2001,1.0,98500.0,98.5
KAZ,2002,0.998,94500.0,94.5
KAZ,2003,1.03,100300.0,100.3
KAZ,2004,0.988,99000.0,99.0
KAZ,2005,1.036,101000.0,101.0
KAZ,2006,0.979,81000.0,81.0
KAZ,2007,1.297,81000.0,81.0
KAZ,2008,1.155,81000.0,81.0
KAZ,2009,1.103,80500.0,80.5
KAZ,2010,1.014,80500.0,80.5
KAZ,2011,0.937,70500.0,70.5
KAZ,2012,1.047,70500.0,70.5
KAZ,2013,1.078,70500.0,70.5
KAZ,2014,1.042,70500.0,70.5
KAZ,2015,1.11,70500.0,70.5
KAZ,2016,0.934,70500.0,70.5
KAZ,2017,0.832,71000.0,71.0
KAZ,2018,0.836,71000.0,71.0
KAZ,2019,1.021,71000.0,71.0
KAZ,2020,0.907,71000.0,71.0
KAZ,2021,0.819,,
KAZ,2022,0.517,,
KAZ,2023,0.441,,
KAZ,2024,0.428,,
KEN,2000,1.314,27200.0,27.2
KEN,2001,1.505,29400.0,29.4
KEN,2002,1.632,29400.0,29.4
KEN,2003,1.65,29100.0,29.1
KEN,2004,1.614,29000.0,29.0
KEN,2005,1.691,29000.0,29.0
KEN,2006,1.455,,
KEN,2007,1.548,29000.0,29.0
KEN,2008,1.616,29000.0,29.0
KEN,2009,1.365,29120.0,29.1
KEN,2010,1.37,29120.0,29.1
KEN,2011,1.38,29100.0,29.1
KEN,2012,1.49,29100.0,29.1
KEN,2013,1.395,29100.0,29.1
KEN,2014,1.199,29100.0,29.1
KEN,2015,1.203,29100.0,29.1
KEN,2016,1.247,29100.0,29.1
KEN,2017,1.238,29000.0,29.0
KEN,2018,1.207,29100.0,29.1
KEN,2019,1.113,29000.0,29.0
KEN,2020,1.108,24000.0,24.0
KEN,2021,1.077,,
KEN,2022,1.01,,
KEN,2023,0.975,,
KEN,2024,1.0,,
KGZ,2000,2.879,14000.0,14.0
KGZ,2001,2.345,14000.0,14.0
KGZ,2002,2.727,15900.0,15.9
KGZ,2003,2.866,15900.0,15.9
KGZ,2004,2.849,17000.0,17.0
KGZ,2005,3.078,18000.0,18.0
KGZ,2006,3.169,21000.0,21.0
KGZ,2007,3.058,21000.0,21.0
KGZ,2008,2.905,21000.0,21.0
KGZ,2009,3.176,20400.0,20.4
KGZ,2010,3.846,20400.0,20.4
KGZ,2011,3.399,20400.0,20.4
KGZ,2012,3.207,20400.0,20.4
KGZ,2013,3.196,20400.0,20.4
KGZ,2014,3.376,20400.0,20.4
KGZ,2015,3.452,20400.0,20.4
KGZ,2016,3.344,20400.0,20.4
KGZ,2017,3.105,21000.0,21.0
KGZ,2018,3.029,20900.0,20.9
KGZ,2019,2.711,21000.0,21.0
KGZ,2020,3.107,21000.0,21.0
KGZ,2021,2.84,,
KGZ,2022,2.904,,
KGZ,2023,3.455,,
KGZ,2024,2.966,,
KHM,2000,2.186,360000.0,360.0
KHM,2001,1.706,207000.0,207.0
KHM,2002,1.446,192000.0,192.0
KHM,2003,1.336,192000.0,192.0
KHM,2004,1.177,192000.0,192.0
KHM,2005,1.004,191000.0,191.0
KHM,2006,0.909,191000.0,191.0
KHM,2007,0.78,191000.0,191.0
KHM,2008,0.679,191000.0,191.0
KHM,2009,1.092,191300.0,191.3
KHM,2010,1.216,191300.0,191.3
KHM,2011,1.199,191300.0,191.3
KHM,2012,1.219,191300.0,191.3
KHM,2013,1.229,191300.0,191.3
KHM,2014,1.261,191300.0,191.3
KHM,2015,1.345,191300.0,191.3
KHM,2016,1.44,191300.0,191.3
KHM,2017,1.562,191000.0,191.0
KHM,2018,1.637,191300.0,191.3
KHM,2019,1.622,191000.0,191.0
KHM,2020,1.78,191000.0,191.0
KHM,2021,1.702,,
KHM,2022,1.542,,
KHM,2023,1.545,,
KHM,2024,1.521,,
KOR,2000,2.31,687500.0,687.5
KOR,2001,2.28,687500.0,687.5
KOR,2002,2.169,690500.0,690.5
KOR,2003,2.175,690500.0,690.5
KOR,2004,2.166,696000.0,696.0
KOR,2005,2.28,693000.0,693.0
KOR,2006,2.299,692000.0,692.0
KOR,2007,2.271,692000.0,692.0
KOR,2008,2.389,692000.0,692.0
KOR,2009,2.5,659500.0,659.5
KOR,2010,2.361,659500.0,659.5
KOR,2011,2.371,659500.0,659.5
KOR,2012,2.392,659500.0,659.5
KOR,2013,2.391,659500.0,659.5
KOR,2014,2.413,632500.0,632.5
KOR,2015,2.376,634500.0,634.5
KOR,2016,2.336,634000.0,634.0
KOR,2017,2.298,634000.0,634.0
KOR,2018,2.362,608000.0,608.0
KOR,2019,2.519,613000.0,613.0
KOR,2020,2.643,569000.0,569.0
KOR,2021,2.619,,
KOR,2022,2.576,,
KOR,2023,2.599,,
KOR,2024,2.562,,
KWT,2000,7.15,20300.0,20.3
KWT,2001,7.701,20500.0,20.5
KWT,2002,7.399,22100.0,22.1
KWT,2003,6.544,22100.0,22.1
KWT,2004,5.804,21000.0,21.0
KWT,2005,4.343,23000.0,23.0
KWT,2006,3.543,23000.0,23.0
KWT,2007,3.59,23000.0,23.0
KWT,2008,3.006,23000.0,23.0
KWT,2009,3.972,22600.0,22.6
KWT,2010,3.756,22600.0,22.6
KWT,2011,3.501,22600.0,22.6
KWT,2012,3.414,22600.0,22.6
KWT,2013,3.272,22600.0,22.6
KWT,2014,3.586,22600.0,22.6
KWT,2015,5.007,22600.0,22.6
KWT,2016,5.894,22600.0,22.6
KWT,2017,5.607,25000.0,25.0
KWT,2018,5.191,24500.0,24.5
KWT,2019,5.323,25000.0,25.0
KWT,2020,6.472,25000.0,25.0
KWT,2021,6.352,,
KWT,2022,4.511,,
KWT,2023,4.769,,
KWT,2024,4.841,,
LAO,2000,0.792,129100.0,129.1
LAO,2001,0.717,129100.0,129.1
LAO,2002,0.584,129100.0,129.1
LAO,2003,0.492,129100.0,129.1
LAO,2004,0.434,129000.0,129.0
LAO,2005,0.393,129000.0,129.0
LAO,2006,0.343,129000.0,129.0
LAO,2007,0.312,129000.0,129.0
LAO,2008,0.274,129000.0,129.0
LAO,2009,0.217,129100.0,129.1
LAO,2010,0.205,129100.0,129.1
LAO,2011,0.212,129100.0,129.1
LAO,2012,0.199,129100.0,129.1
LAO,2013,0.19,129100.0,129.1
LAO,2014,,129100.0,129.1
LAO,2015,,129100.0,129.1
LAO,2016,,129100.0,129.1
LAO,2017,,129000.0,129.0
LAO,2018,,129100.0,129.1
LAO,2019,,129000.0,129.0
LAO,2020,,129000.0,129.0
LBN,2000,5.392,76600.0,76.6
LBN,2001,5.448,84800.0,84.8
LBN,2002,4.753,84800.0,84.8
LBN,2003,4.676,85100.0,85.1
LBN,2004,4.511,85000.0,85.0
LBN,2005,4.477,85000.0,85.0
LBN,2006,4.581,76000.0,76.0
LBN,2007,4.641,76000.0,76.0
LBN,2008,4.016,76000.0,76.0
LBN,2009,4.029,79100.0,79.1
LBN,2010,4.124,79100.0,79.1
LBN,2011,4.074,80000.0,80.0
LBN,2012,3.992,80000.0,80.0
LBN,2013,4.129,80000.0,80.0
LBN,2014,4.72,80000.0,80.0
LBN,2015,4.485,80000.0,80.0
LBN,2016,5.096,80000.0,80.0
LBN,2017,4.603,80000.0,80.0
LBN,2018,5.056,80000.0,80.0
LBN,2019,4.739,80000.0,80.0
LBN,2020,3.027,80000.0,80.0
LBN,2021,1.609,,
LBN,2022,1.395,,
LBN,2023,1.624,,
LBN,2024,2.588,,
LBR,2000,,15000.0,15.0
LBR,2001,,15000.0,15.0
LBR,2002,,15000.0,15.0
LBR,2003,,15000.0,15.0
LBR,2004,0.504,,
LBR,2005,0.685,15000.0,15.0
LBR,2006,0.352,2000.0,2.0
LBR,2007,0.214,2000.0,2.0
LBR,2008,0.292,2000.0,2.0
LBR,2009,0.382,2040.0,2.0
LBR,2010,0.457,2040.0,2.0
LBR,2011,0.536,2050.0,2.0
LBR,2012,0.567,2050.0,2.0
LBR,2013,0.496,2050.0,2.0
LBR,2014,0.47,2050.0,2.0
LBR,2015,0.479,2050.0,2.0
LBR,2016,0.452,2050.0,2.0
LBR,2017,0.402,2000.0,2.0
LBR,2018,0.405,2100.0,2.1
LBR,2019,0.419,2000.0,2.0
LBR,2020,0.425,2000.0,2.0
LBR,2021,0.847,,
LBR,2022,1.313,,
LBR,2023,1.424,,
LBR,2024,0.711,,
LBY,2000,3.147,76500.0,76.5
LBY,2001,2.414,76500.0,76.5
LBY,2002,2.069,76500.0,76.5
LBY,2003,2.072,76500.0,76.5
LBY,2004,2.071,76000.0,76.0
LBY,2005,1.528,76000.0,76.0
LBY,2006,1.12,76000.0,76.0
LBY,2007,0.947,76000.0,76.0
LBY,2008,1.49,76000.0,76.0
LBY,2009,,76000.0,76.0
LBY,2012,3.746,7000.0,7.0
LBY,2013,7.639,7000.0,7.0
LBY,2014,15.48,0.0,0.0
LBY,2020,,0.0,0.0
LBY,2022,4.347,,
LBY,2023,5.287,,
LKA,2000,5.034,203600.0,203.6
LKA,2001,4.287,209600.0,209.6
LKA,2002,3.343,246500.0,246.5
LKA,2003,2.869,240900.0,240.9
LKA,2004,2.997,239000.0,239.0
LKA,2005,2.64,200000.0,200.0
LKA,2006,2.799,213000.0,213.0
LKA,2007,3.261,213000.0,213.0
LKA,2008,3.244,213000.0,213.0
LKA,2009,3.162,223100.0,223.1
LKA,2010,2.701,223100.0,223.1
LKA,2011,2.685,223100.0,223.1
LKA,2012,2.155,223100.0,223.1
LKA,2013,2.154,223100.0,223.1
LKA,2014,2.413,223100.0,223.1
LKA,2015,2.417,265200.0,265.2
LKA,2016,1.979,305200.0,305.2
LKA,2017,1.977,317000.0,317.0
LKA,2018,1.735,317000.0,317.0
LKA,2019,1.752,317000.0,317.0
LKA,2020,1.74,317000.0,317.0
LKA,2021,1.713,,
LKA,2022,1.343,,
LKA,2023,1.64,,
LKA,2024,1.425,,
LSO,2000,3.285,2000.0,2.0
LSO,2001,2.744,2000.0,2.0
LSO,2002,2.516,2000.0,2.0
LSO,2003,2.369,2000.0,2.0
LSO,2004,2.132,2000.0,2.0
LSO,2005,2.049,2000.0,2.0
LSO,2006,2.074,2000.0,2.0
LSO,2007,2.368,2000.0,2.0
LSO,2008,1.548,2000.0,2.0
LSO,2009,2.723,2000.0,2.0
LSO,2010,3.163,2000.0,2.0
LSO,2011,2.256,2000.0,2.0
LSO,2012,2.148,2000.0,2.0
LSO,2013,2.027,2000.0,2.0
