Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2022,AND,0,0,0,0,5,0,0,0,0,0,0,0,0
2022,ARG,0,0,0,0,6,0,0,0,0,0,0,0,0
2022,ARM,0,0,0,0,6,0,0,0,0,0,0,0,0
2022,ASA,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,AUS,1,2,1,4,43,4,1,2,1,4,1,2,1
2022,AUT,7,7,4,18,101,22,14,7,5,28,15,8,5
2022,AZE,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,BEL,1,0,1,2,19,2,1,0,1,2,1,0,1
2022,BIH,0,0,0,0,6,0,0,0,0,0,0,0,0
2022,BLR,0,2,0,2,26,2,0,2,0,2,0,2,0
2022,BOL,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,BRA,0,0,0,0,10,0,0,0,0,0,0,0,0
2022,BUL,0,0,0,0,15,0,0,0,0,0,0,0,0
2022,CAN,4,8,14,26,215,60,33,8,26,68,33,8,27
2022,CHI,0,0,0,0,4,0,0,0,0,0,0,0,0
2022,CHN,9,4,2,15,180,17,12,6,6,26,14,6,6
2022,COL,0,0,0,0,3,0,0,0,0,0,0,0,0
2022,CRO,0,0,0,0,11,0,0,0,0,0,0,0,0
2022,CYP,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,CZE,1,0,1,2,114,2,1,0,1,2,1,0,1
2022,DEN,0,0,0,0,63,0,0,0,0,0,0,0,0
2022,ECU,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,ERI,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,ESP,0,1,0,1,14,1,0,1,0,1,0,1,0
2022,EST,0,0,1,1,25,1,0,0,1,1,0,0,1
2022,FIN,2,2,4,8,94,52,26,3,26,55,26,3,26
2022,FRA,5,7,2,14,81,18,5,9,5,24,6,13,5
2022,GBR,1,1,0,2,49,10,5,5,0,10,5,5,0
2022,GEO,0,0,0,0,9,0,0,0,0,0,0,0,0
2022,GER,12,10,5,27,143,47,16,24,11,58,20,26,12
2022,GHA,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,GRE,0,0,0,0,5,0,0,0,0,0,0,0,0
2022,HAI,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,HKG,0,0,0,0,3,0,0,0,0,0,0,0,0
2022,HUN,1,0,2,3,14,5,1,0,5,7,1,0,6
2022,IND,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,IRI,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,IRL,0,0,0,0,6,0,0,0,0,0,0,0,0
2022,ISL,0,0,0,0,5,0,0,0,0,0,0,0,0
2022,ISR,0,0,0,0,6,0,0,0,0,0,0,0,0
2022,ISV,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,ITA,2,7,8,17,119,20,3,12,12,28,3,13,12
2022,JAM,0,0,0,0,7,0,0,0,0,0,0,0,0
2022,JPN,3,7,8,18,120,29,3,20,10,37,3,23,11
2022,KAZ,0,0,0,0,34,0,0,0,0,0,0,0,0
2022,KGZ,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,KOR,2,5,2,9,65,14,2,12,2,17,2,13,2
2022,KOS,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,KSA,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,LAT,0,0,1,1,58,2,0,0,2,2,0,0,2
2022,LBN,0,0,0,0,3,0,0,0,0,0,0,0,0
2022,LIE,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,LTU,0,0,0,0,13,0,0,0,0,0,0,0,0
2022,LUX,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,MAD,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,MAR,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,MAS,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,MDA,0,0,0,0,5,0,0,0,0,0,0,0,0
2022,MEX,0,0,0,0,4,0,0,0,0,0,0,0,0
2022,MGL,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,MKD,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,MLT,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,MNE,0,0,0,0,3,0,0,0,0,0,0,0,0
2022,MON,0,0,0,0,3,0,0,0,0,0,0,0,0
2022,NED,8,5,4,17,41,14,9,4,6,24,12,5,7
2022,NGR,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,NOR,16,8,13,37,79,35,19,12,17,59,29,12,18
2022,NZL,2,1,0,3,15,2,2,1,0,3,2,1,0
2022,PAK,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,PER,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,PHI,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,POL,0,0,1,1,57,1,0,0,1,1,0,0,1
2022,POR,0,0,0,0,3,0,0,0,0,0,0,0,0
2022,PUR,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,ROC,5,12,15,32,215,77,9,47,35,99,11,47,41
2022,ROU,0,0,0,0,21,0,0,0,0,0,0,0,0
2022,SLO,2,3,2,7,42,9,4,6,2,13,5,6,2
2022,SMR,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,SRB,0,0,0,0,2,0,0,0,0,0,0,0,0
2022,SUI,7,2,6,15,165,11,7,2,6,15,7,2,6
2022,SVK,1,0,1,2,50,26,1,0,25,26,1,0,25
2022,SWE,8,5,5,18,114,26,14,4,13,34,15,6,13
2022,THA,0,0,0,0,4,0,0,0,0,0,0,0,0
2022,TLS,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,TPE,0,0,0,0,4,0,0,0,0,0,0,0,0
2022,TTO,0,0,0,0,3,0,0,0,0,0,0,0,0
2022,TUR,0,0,0,0,7,0,0,0,0,0,0,0,0
2022,UKR,0,1,0,1,45,1,0,1,0,1,0,1,0
2022,USA,9,9,7,25,223,64,25,31,12,70,27,31,12
2022,UZB,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,AIN,0,1,0,1,20,1,0,1,0,1,0,1,0
2026,ALB,0,0,0,0,4,0,0,0,0,0,0,0,0
2026,AND,0,0,0,0,6,0,0,0,0,0,0,0,0
2026,ARG,0,0,0,0,8,0,0,0,0,0,0,0,0
2026,ARM,0,0,0,0,5,0,0,0,0,0,0,0,0
2026,AUS,3,2,1,6,51,6,3,2,1,6,3,2,1
2026,AUT,5,8,5,18,109,22,7,9,7,25,7,11,7
2026,AZE,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,BEL,0,0,1,1,29,4,0,0,4,4,0,0,4
2026,BEN,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,BIH,0,0,0,0,5,0,0,0,0,0,0,0,0
2026,BOL,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,BRA,1,0,0,1,12,1,1,0,0,1,1,0,0
2026,BUL,0,0,2,2,20,2,0,0,2,2,0,0,2
2026,CAN,3,6,7,16,158,38,3,32,9,47,3,33,11
2026,CHI,0,0,0,0,4,0,0,0,0,0,0,0,0
2026,CHN,4,3,6,13,103,11,4,2,9,18,4,3,11
2026,COL,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,CRO,0,0,0,0,14,0,0,0,0,0,0,0,0
2026,CYP,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,CZE,2,2,1,5,85,4,2,2,1,5,2,2,1
2026,DEN,0,1,0,1,9,1,0,1,0,1,0,1,0
2026,ECU,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,ERI,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,ESP,1,0,2,3,20,2,1,0,2,4,1,0,3
2026,EST,0,0,0,0,29,0,0,0,0,0,0,0,0
2026,FIN,0,1,4,5,76,7,0,2,7,9,0,2,7
2026,FRA,8,9,6,23,129,20,12,10,7,38,19,12,7
2026,GBR,3,0,0,3,41,4,4,0,0,5,5,0,0
2026,GBS,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,GEO,0,1,0,1,8,2,0,2,0,2,0,2,0
2026,GER,7,9,8,24,146,32,8,11,14,40,10,14,16
2026,GHA,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,GRE,0,0,0,0,5,0,0,0,0,0,0,0,0
2026,HAI,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,HKG,0,0,0,0,4,0,0,0,0,0,0,0,0
2026,HUN,0,0,0,0,16,0,0,0,0,0,0,0,0
2026,IND,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,IRI,0,0,0,0,4,0,0,0,0,0,0,0,0
2026,IRL,0,0,0,0,3,0,0,0,0,0,0,0,0
2026,ISL,0,0,0,0,5,0,0,0,0,0,0,0,0
2026,ISR,0,0,0,0,7,0,0,0,0,0,0,0,0
2026,ITA,10,6,14,30,157,45,16,12,26,60,18,13,29
2026,JAM,0,0,0,0,4,0,0,0,0,0,0,0,0
2026,JPN,4,7,11,22,113,24,5,11,13,35,5,13,17
2026,KAZ,1,0,0,1,36,1,1,0,0,1,1,0,0
2026,KEN,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,KGZ,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,KOR,3,4,3,10,58,13,6,7,3,18,7,8,3
2026,KOS,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,KSA,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,LAT,0,1,1,2,36,2,0,1,1,2,0,1,1
2026,LBN,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,LIE,0,0,0,0,5,0,0,0,0,0,0,0,0
2026,LTU,0,0,0,0,17,0,0,0,0,0,0,0,0
2026,LUX,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,MAD,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,MAR,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,MAS,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,MDA,0,0,0,0,5,0,0,0,0,0,0,0,0
2026,MEX,0,0,0,0,5,0,0,0,0,0,0,0,0
2026,MGL,0,0,0,0,3,0,0,0,0,0,0,0,0
2026,MKD,0,0,0,0,4,0,0,0,0,0,0,0,0
2026,MLT,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,MNE,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,MON,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,NED,10,7,3,20,36,15,11,8,3,26,14,9,3
2026,NGR,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,NOR,18,11,11,40,71,31,17,12,14,58,26,17,15
2026,NZL,0,1,1,2,12,2,0,1,1,2,0,1,1
2026,PAK,0,0,0,0,1,0,0,0,0,0,0,0,0
