WB_Code,Year,Education_Spending_pct_GDP
AFG,2010,3.4794499874115
AFG,2011,3.4620099067688
AFG,2012,2.60419988632202
AFG,2013,3.45445990562439
AFG,2014,3.69521999359131
AFG,2015,3.2558000087738
AFG,2016,4.54397010803223
AFG,2017,4.34319019317627
ARE,2019,3.86020994186401
ARE,2020,3.98417997360229
ARE,2021,3.89403009414673
ARG,1970,1.4580899477005
ARG,1972,1.93620002269745
ARG,1973,1.78051996231079
ARG,1974,1.92351996898651
ARG,1975,1.84360003471374
ARG,1976,1.16563999652863
ARG,1977,1.71984004974365
ARG,1978,1.93554997444153
ARG,1979,2.4002799987793
ARG,1980,2.60715007781982
ARG,1982,1.59786999225616
ARG,1983,1.61749994754791
ARG,1984,2.56972002983093
ARG,1985,1.36186003684998
ARG,1986,1.261549949646
ARG,1987,1.28229999542236
ARG,1989,1.04612004756927
ARG,1990,1.06737995147705
ARG,1996,3.73198008537292
ARG,1998,4.03986978530884
ARG,1999,4.52167987823486
ARG,2000,4.58030986785889
ARG,2001,4.833740234375
ARG,2002,4.01734018325806
ARG,2003,3.53504991531372
ARG,2004,3.48652005195618
ARG,2005,3.86000990867615
ARG,2006,4.12821006774902
ARG,2007,4.46260023117065
ARG,2008,4.84440994262695
ARG,2009,5.53105020523071
ARG,2010,5.01971006393433
ARG,2011,5.29062986373901
ARG,2012,5.34582996368408
ARG,2013,5.43661022186279
ARG,2014,5.36144018173218
ARG,2015,5.77611017227173
ARG,2016,5.54548978805542
ARG,2017,5.45431995391846
ARG,2018,4.87773990631104
ARG,2019,4.7716498374939
ARG,2020,5.27689981460571
ARG,2021,4.65393018722534
ARG,2022,4.79263019561768
ARG,2023,5.89754023690244
ARM,1996,1.84843003749847
ARM,1999,2.23518991470337
ARM,2000,2.77273011207581
ARM,2001,2.46943998336792
ARM,2002,2.13504004478455
ARM,2003,2.1450400352478
ARM,2004,2.48673009872436
ARM,2005,2.71202993392944
ARM,2006,2.71577000617981
ARM,2007,3.01893997192383
ARM,2008,3.17272996902466
ARM,2009,3.84079003334045
ARM,2010,3.24900007247925
ARM,2011,3.14385008811951
ARM,2012,2.77248001098633
ARM,2013,2.65018010139465
ARM,2014,2.24724006652832
ARM,2015,2.80591011047363
ARM,2016,2.75812005996704
ARM,2017,2.70759010314941
ARM,2018,2.11331180512289
ARM,2019,2.15984239839771
ARM,2020,2.70555996894836
ARM,2021,2.76784992218018
ARM,2022,2.4918999671936
ARM,2023,2.43869996070862
AUT,1970,4.16346979141235
AUT,1971,4.29919004440308
AUT,1972,4.46764993667603
AUT,1973,4.53321981430054
AUT,1974,4.67425012588501
AUT,1975,5.14811992645264
AUT,1976,5.2582597732544
AUT,1977,4.9734902381897
AUT,1978,5.1800799369812
AUT,1979,5.05797004699707
AUT,1980,5.02866983413696
AUT,1981,5.38891983032227
AUT,1982,5.3840799331665
AUT,1983,5.32463979721069
AUT,1984,5.31528997421265
AUT,1985,5.318039894104
AUT,1986,5.5215802192688
AUT,1987,5.39725017547607
AUT,1988,5.21114015579224
AUT,1989,5.03790998458862
AUT,1990,4.97674989700317
AUT,1991,5.12328004837036
AUT,1992,5.31781005859375
AUT,1993,5.27264976501465
AUT,1995,5.44969987869263
AUT,1996,5.28883981704712
AUT,1998,6.13724994659424
AUT,1999,6.13599014282227
AUT,2000,5.62036991119385
AUT,2001,5.60475015640259
AUT,2002,5.56255006790161
AUT,2003,5.39253997802734
AUT,2004,5.34224987030029
AUT,2005,5.28515005111694
AUT,2006,5.26367998123169
AUT,2007,5.17918014526367
AUT,2008,5.29851007461548
AUT,2009,5.76567983627319
AUT,2010,5.73625993728638
AUT,2011,5.62787008285522
AUT,2012,5.51611995697021
AUT,2013,5.59405994415283
AUT,2014,5.4976601600647
AUT,2015,5.49144983291626
AUT,2016,5.50954008102417
AUT,2017,5.40181016921997
AUT,2018,5.25437021255493
AUT,2019,5.23678016662598
AUT,2020,5.57961988449097
AUT,2021,5.48071002960205
AUT,2022,5.27748012542725
AZE,1992,6.05797004699707
AZE,1995,3.33736991882324
AZE,1996,3.51256990432739
AZE,1998,3.38001990318298
AZE,1999,4.21214008331299
AZE,2000,3.85399007797241
AZE,2001,3.50342011451721
AZE,2002,3.15445995330811
AZE,2003,3.28614997863769
AZE,2004,3.44770002365112
AZE,2005,2.97462010383606
AZE,2006,2.55552005767822
AZE,2007,2.5492799282074
AZE,2008,2.44092988967896
AZE,2009,3.22430992126465
AZE,2010,2.78062009811401
AZE,2011,2.43564009666443
AZE,2012,2.06763005256653
AZE,2013,2.44213008880615
AZE,2014,2.63303995132446
AZE,2015,2.95167994499206
AZE,2016,2.90340995788574
AZE,2017,2.4738199710846
AZE,2018,2.45543003082275
AZE,2019,3.1764600276947
AZE,2020,4.33204984664917
AZE,2021,3.7020800113678
AZE,2022,3.04690003395081
AZE,2023,3.66400003433227
BEL,1975,5.76281976699829
BEL,1976,5.73104000091553
BEL,1977,5.98883008956909
BEL,1978,5.43633985519409
BEL,1979,5.38035011291504
BEL,1980,5.31063985824585
BEL,1981,5.4353199005127
BEL,1982,5.31673002243042
BEL,1986,4.85229015350342
BEL,1987,4.57712984085083
BEL,1988,4.30072021484375
BEL,1993,5.37231016159058
