Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI
1960,AFG,0,0,0,0,0,0,0,0,0.0,AFG,9035043.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1964,AFG,0,0,0,0,0,0,0,0,0.0,AFG,9814318.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1968,AFG,0,0,0,0,0,0,0,0,0.0,AFG,10756922.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1972,AFG,0,0,0,0,0,0,0,0,0.0,AFG,11853696.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1980,AFG,0,0,0,0,0,0,0,0,0.0,AFG,13169311.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1988,AFG,0,0,0,0,0,0,0,0,0.0,AFG,11523298.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1996,AFG,0,0,0,0,0,0,0,0,0.0,AFG,17763266.0,,,0.334,3.0,Temperate,12.0,4.0,,0.0,,,0.0,0.0,,,0.0
2004,AFG,0,0,0,0,0,0,0,0,0.0,AFG,23560654.0,5224896718.67782,221.763653873013,0.408,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,AFG,0,0,1,1,0,0,0,0,0.0,AFG,26482622.0,10109297047.5432,381.73323802844,0.446,3.0,Temperate,12.0,4.0,,0.03776061146815447,0.09891884621621876,26.196304130202506,2.242152466367713,0.0,0.0,0.0,0.0
2012,AFG,0,0,1,1,0,0,1,1,0.3333333333333333,AFG,30560034.0,19907329777.5872,651.417134470046,0.484,3.0,Temperate,12.0,4.0,2.60419988632202,0.032722476683108404,0.050232754024392395,15.351146708990703,2.066115702479339,0.0,0.0,0.0,0.0
2016,AFG,0,0,0,0,0,0,2,2,0.6666666666666666,AFG,34700612.0,18116572395.0772,522.082215583898,0.495,3.0,Temperate,12.0,4.0,4.54397010803223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,AFG,0,0,0,0,0,0,2,2,0.6666666666666666,AFG,39068979.0,19955929052.1496,510.787063366811,0.501,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,AFG,0,0,0,0,0,0,2,2,0.3333333333333333,AFG,42647492.0,,,,3.0,Temperate,12.0,4.0,,0.0,,,,0.0,,,
1960,AHO,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1964,AHO,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1968,AHO,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1972,AHO,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1976,AHO,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1984,AHO,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1988,AHO,0,1,0,1,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1992,AHO,0,0,0,0,0,1,0,1,0.3333333333333333,,,,,,,,,,,,,,,,,,
1996,AHO,0,0,0,0,0,1,0,1,0.3333333333333333,,,,,,,,,,,,,,,,,,
2000,AHO,0,0,0,0,0,1,0,1,0.3333333333333333,,,,,,,,,,,,,,,,,,
2004,AHO,0,0,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,
2008,AHO,0,0,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,
2024,AIN,1,3,1,5,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1972,ALB,0,0,0,0,0,0,0,0,0.0,ALB,2243126.0,,,,2.0,Continental,5.0,7.0,,0.0,,,,0.0,,,
1992,ALB,0,0,0,0,0,0,0,0,0.0,ALB,3247039.0,652174990.837304,200.852219772323,0.622,2.0,Continental,5.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,ALB,0,0,0,0,0,0,0,0,0.0,ALB,3168033.0,3234486232.04392,1020.97618050188,0.647,2.0,Continental,5.0,7.0,3.08350992202759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,ALB,0,0,0,0,0,0,0,0,0.0,ALB,3089027.0,3584570164.85195,1160.42047054038,0.682,2.0,Continental,5.0,7.0,3.4301700592041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,ALB,0,0,0,0,0,0,0,0,0.0,ALB,3026939.0,7406645793.44038,2446.90949947798,0.71,2.0,Continental,5.0,7.0,3.22751998901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,ALB,0,0,0,0,0,0,0,0,0.0,ALB,2947314.0,13258506375.4518,4498.50486763601,0.749,2.0,Continental,5.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,ALB,0,0,0,0,0,0,0,0,0.0,ALB,2860708.0,12246499747.9714,4280.93316338873,0.79,2.0,Continental,5.0,7.0,3.29533986928598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,ALB,0,0,0,0,0,0,0,0,0.0,ALB,2689469.0,11988668784.6628,4457.63412207495,0.797,2.0,Continental,5.0,7.0,3.96209001541138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,ALB,0,0,0,0,0,0,0,0,0.0,ALB,2528480.0,15241458744.5927,6027.91350716348,0.794,2.0,Continental,5.0,7.0,3.325040102005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,ALB,0,0,2,2,0,0,0,0,0.0,ALB,2377128.0,27046429296.6673,11377.7757431099,,2.0,Continental,5.0,7.0,,0.8413514122924807,0.07394691469481492,1.7578128143465568,,0.0,0.0,0.0,
1964,ALG,0,0,0,0,0,0,0,0,0.0,DZA,12179813.0,2909316435.2874,238.863801545015,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1968,ALG,0,0,0,0,0,0,0,0,0.0,DZA,13172614.0,3852147026.77302,292.436036368561,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1972,ALG,0,0,0,0,0,0,0,0,0.0,DZA,14427072.0,6766743956.88889,469.030996510511,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1980,ALG,0,0,0,0,0,0,0,0,0.0,DZA,18607174.0,42345829079.2062,2275.77971158899,,4.0,Mediterranean/Subtropical,18.0,2.0,6.59742021560669,0.0,0.0,0.0,,0.0,0.0,0.0,
1984,ALG,0,0,2,2,0,0,0,0,0.0,DZA,21271969.0,53698548293.0745,2524.38071403143,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.09402044540399622,0.03724495472548817,7.922735223269886,,0.0,0.0,0.0,
1988,ALG,0,0,0,0,0,0,2,2,0.6666666666666666,DZA,24109536.0,59089396860.4342,2450.87242078961,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1992,ALG,1,0,1,2,0,0,2,2,0.6666666666666666,DZA,26628568.0,48003133346.9957,1802.69300801289,0.601,4.0,Mediterranean/Subtropical,18.0,2.0,,0.07510730580780761,0.041663946924939035,11.094512438391279,3.327787021630616,0.037553652903903806,0.020831973462469518,5.547256219195639,1.663893510815308
1996,ALG,2,0,1,3,1,0,3,4,1.3333333333333333,DZA,29033044.0,46941554225.3581,1616.83198721285,0.615,4.0,Mediterranean/Subtropical,18.0,2.0,,0.10333053606091046,0.0639092601322387,18.554803614267318,4.878048780487805,0.06888702404060697,0.04260617342149248,12.369869076178212,3.252032520325203
2000,ALG,1,1,3,5,3,0,4,7,1.6666666666666667,DZA,30903893.0,54790398570.3282,1772.92869122761,0.651,4.0,Mediterranean/Subtropical,18.0,2.0,,0.1617919140478515,0.09125686489726971,28.20192388300684,7.680491551459293,0.032358382809570305,0.01825137297945394,5.640384776601369,1.5360983102918586
2004,ALG,0,0,0,0,4,1,7,12,3.333333333333333,DZA,32628286.0,91913680985.1708,2816.99384960555,0.685,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,ALG,0,1,1,2,4,1,7,12,2.6666666666666665,DZA,34816961.0,180383848331.135,5180.91881514686,0.711,4.0,Mediterranean/Subtropical,18.0,2.0,4.11142015457153,0.0574432673776439,0.011087467190125311,3.8603191274737383,2.8129395218002813,0.0,0.0,0.0,0.0
2012,ALG,1,0,0,1,4,2,8,14,2.333333333333333,DZA,37646166.0,227143746075.934,6033.64884689543,0.723,4.0,Mediterranean/Subtropical,18.0,2.0,7.02950889772261,0.026563129961228987,0.0044024984939083495,1.6573718911642374,1.3831258644536653,0.026563129961228987,0.0044024984939083495,1.6573718911642374,1.3831258644536653
2016,ALG,0,2,0,2,5,2,8,15,1.0,DZA,40850721.0,180763839522.151,4424.98529027556,0.743,4.0,Mediterranean/Subtropical,18.0,2.0,6.50210843472458,0.04895874420429446,0.011064159763849881,4.519789036124576,2.6917900403768504,0.0,0.0,0.0,0.0
2020,ALG,0,0,0,0,5,4,8,17,1.6666666666666667,DZA,44042091.0,164873415325.201,3743.5419522929,0.742,4.0,Mediterranean/Subtropical,18.0,2.0,6.19391724496515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,ALG,2,0,1,3,5,4,8,17,1.0,DZA,46814308.0,269322281664.773,5752.99076651465,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.06408297224002542,0.011139070935594245,5.214678976127573,,0.042721981493350276,0.007426047290396164,3.4764526507517157,
1976,AND,0,0,0,0,0,0,0,0,0.0,AND,29436.0,227283850.831271,7721.28858646797,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1980,AND,0,0,0,0,0,0,0,0,0.0,AND,35782.0,446377776.798001,12474.9252919904,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1984,AND,0,0,0,0,0,0,0,0,0.0,AND,42273.0,330073080.637098,7808.13002713549,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1988,AND,0,0,0,0,0,0,0,0,0.0,AND,49416.0,721425939.15155,14599.0355178798,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1992,AND,0,0,0,0,0,0,0,0,0.0,AND,60200.0,1209992020.29543,20099.5352208543,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1996,AND,0,0,0,0,0,0,0,0,0.0,AND,63984.0,1224024139.21295,19130.1597151312,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2000,AND,0,0,0,0,0,0,0,0,0.0,AND,65685.0,1432606296.26722,21810.2503808666,0.825,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,AND,0,0,0,0,0,0,0,0,0.0,AND,74325.0,2900244053.52758,39021.1107100919,0.849,,,,,1.54411995410919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,AND,0,0,0,0,0,0,0,0,0.0,AND,83495.0,4102317468.30156,49132.4925840057,0.864,,,,,2.87392997741699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,AND,0,0,0,0,0,0,0,0,0.0,AND,76834.0,3188653258.61001,41500.5499988288,0.876,,,,,2.56577895521486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,AND,0,0,0,0,0,0,0,0,0.0,AND,72181.0,2896611878.6258,40129.8385811474,0.872,,,,,3.23707008361816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,AND,0,0,0,0,0,0,0,0,0.0,AND,77380.0,2891002460.29153,37361.1070081615,0.851,,,,,2.63213046553066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,AND,0,0,0,0,0,0,0,0,0.0,AND,81938.0,4039842405.48117,49303.6491674336,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1980,ANG,0,0,0,0,0,0,0,0,0.0,AGO,8133872.0,5930503400.96263,729.111965489822,,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1988,ANG,0,0,0,0,0,0,0,0,0.0,AGO,10861291.0,8769836768.83482,807.43962838624,,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1992,ANG,0,0,0,0,0,0,0,0,0.0,AGO,12423712.0,8307810973.58848,668.706017459877,,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1996,ANG,0,0,0,0,0,0,0,0,0.0,AGO,14170973.0,7526421519.16979,531.115366543271,,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
2000,ANG,0,0,0,0,0,0,0,0,0.0,AGO,16194869.0,9129594970.15301,563.733795571487,0.391,5.0,Tropical,26.0,0.0,2.60753011703491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,ANG,0,0,0,0,0,0,0,0,0.0,AGO,18600423.0,26997977896.5924,1451.47117872493,0.448,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,ANG,0,0,0,0,0,0,0,0,0.0,AGO,21578655.0,98790432989.4067,4578.15526451517,0.504,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,ANG,0,0,0,0,0,0,0,0,0.0,AGO,25177394.0,143572907527.976,5702.45306277434,0.557,5.0,Tropical,26.0,0.0,3.08191085718142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,ANG,0,0,0,0,0,0,0,0,0.0,AGO,29183070.0,59878249719.3279,2051.81462126253,0.609,5.0,Tropical,26.0,0.0,2.75493664582725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,ANG,0,0,0,0,0,0,0,0,0.0,AGO,33451132.0,58852456453.8769,1759.35619918264,0.61,5.0,Tropical,26.0,0.0,2.66744733689285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,ANG,0,0,0,0,0,0,0,0,0.0,AGO,37885849.0,100998916781.079,2665.87444776753,,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1976,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1984,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1988,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1992,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1996,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
2000,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
2004,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
2008,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
2012,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
2016,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
2020,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
2024,ANT,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1960,ARG,0,1,1,2,13,15,10,38,4.666666666666667,ARG,20386045.0,15865474315.4056,778.251706763404,,3.0,Temperate,12.0,4.0,,0.09810632714683011,0.12605989334072235,25.698626583391732,,0.0,0.0,0.0,
1964,ARG,0,1,0,1,13,16,11,40,3.0,ARG,21769453.0,25605249381.7597,1176.20086190313,,3.0,Temperate,12.0,4.0,,0.04593592682370109,0.03905449172123141,8.50194921964237,,0.0,0.0,0.0,
1968,ARG,0,0,2,2,13,17,11,41,1.6666666666666667,ARG,23150583.0,26436857247.4982,1141.95211617341,,3.0,Temperate,12.0,4.0,,0.08639091291998997,0.0756519574651509,17.513869204094473,,0.0,0.0,0.0,
1972,ARG,0,1,0,1,13,17,13,43,1.6666666666666667,ARG,24644328.0,34733000536.2862,1409.37097316211,,3.0,Temperate,12.0,4.0,1.93620002269745,0.04057728821009037,0.028791062809424763,7.095363953440646,,0.0,0.0,0.0,
1976,ARG,0,0,0,0,13,18,13,44,1.3333333333333333,ARG,26282283.0,51169499892.1722,1946.91990388248,,3.0,Temperate,12.0,4.0,1.16563999652863,0.0,0.0,0.0,,0.0,0.0,0.0,
1984,ARG,0,0,0,0,13,18,13,44,1.0,ARG,29863093.0,116915052107.031,3915.03492645691,,3.0,Temperate,12.0,4.0,2.56972002983093,0.0,0.0,0.0,,0.0,0.0,0.0,
1988,ARG,0,1,1,2,13,18,13,44,0.3333333333333333,ARG,31780532.0,126890235049.092,3992.70330179156,,3.0,Temperate,12.0,4.0,,0.06293160857093268,0.01576165415113487,5.009137541230732,,0.0,0.0,0.0,
1992,ARG,0,0,1,1,13,19,14,46,0.6666666666666666,ARG,33693527.0,228778917308.17,6789.99611136495,0.743,3.0,Temperate,12.0,4.0,,0.029679291218161874,0.004371032137777708,1.47275489352081,1.3458950201884252,0.0,0.0,0.0,0.0
1996,ARG,0,2,1,3,13,19,15,47,1.0,ARG,35513793.0,272149750000.0,7663.21271287469,0.76,3.0,Temperate,12.0,4.0,3.73198008537292,0.08447422104420105,0.011023342847090618,3.914807160396066,3.9473684210526314,0.0,0.0,0.0,0.0
2000,ARG,0,2,2,4,13,21,16,50,2.0,ARG,37213984.0,284203750000.0,7637.01489203628,0.789,3.0,Temperate,12.0,4.0,4.58030986785889,0.1074864760515832,0.014074409644489208,5.237648553194674,5.069708491761723,0.0,0.0,0.0,0.0
2004,ARG,2,0,4,6,13,23,18,54,2.6666666666666665,ARG,38815916.0,164657930452.787,4242.02099089422,0.808,3.0,Temperate,12.0,4.0,3.48652005195618,0.15457576732183775,0.03643918020529478,14.144201579575865,7.425742574257425,0.05152525577394593,0.012146393401764925,4.7147338598586215,2.4752475247524752
2008,ARG,2,0,4,6,15,23,22,60,4.333333333333333,ARG,40424148.0,361558037110.419,8944.1102657357,0.833,3.0,Temperate,12.0,4.0,4.84440994262695,0.14842613380497222,0.016594846149603402,6.708325167887974,7.202881152460985,0.04947537793499074,0.005531615383201133,2.2361083892959916,2.4009603841536618
2012,ARG,1,1,2,4,17,23,26,66,5.333333333333333,ARG,42161721.0,545982375701.128,12949.717486654,0.85,3.0,Temperate,12.0,4.0,5.34582996368408,0.09487278756955865,0.007326243809359899,3.088870474682097,4.705882352941177,0.023718196892389663,0.0018315609523399748,0.7722176186705243,1.1764705882352942
2016,ARG,3,1,0,4,18,24,28,70,5.333333333333333,ARG,43900313.0,557532320662.955,12699.9623137756,0.857,3.0,Temperate,12.0,4.0,5.54548978805542,0.09111552348157517,0.007174471957506694,3.149615645442676,4.667444574095683,0.06833664261118139,0.005380853968130019,2.362211734082007,3.500583430571762
2020,ARG,0,1,2,3,21,25,28,74,4.666666666666667,ARG,45191965.0,385740508436.965,8535.59938004389,0.851,3.0,Temperate,12.0,4.0,5.27689981460571,0.06638348210793667,0.0077772490427725945,3.514691665372624,3.5252643948296125,0.0,0.0,0.0,0.0
2024,ARG,1,1,1,3,21,26,30,77,3.6666666666666665,ARG,45696159.0,638365455340.04,13969.7836603737,,3.0,Temperate,12.0,4.0,,0.06565103207033221,0.004699502416530325,2.147492096466545,,0.021883677356777403,0.0015665008055101087,0.7158306988221815,
1996,ARM,1,1,0,2,0,0,0,0,0.0,ARM,3278735.0,1596968946.23708,487.068624404558,0.635,2.0,Continental,5.0,7.0,1.84843003749847,0.6099913533725659,1.2523725052466281,41.061975659898074,3.149606299212598,0.30499567668628297,0.6261862526233141,20.530987829949037,1.574803149606299
2000,ARM,0,0,1,1,1,1,0,2,2.0,ARM,3221100.0,1911563668.85006,593.450581742282,0.667,2.0,Continental,5.0,7.0,2.77273011207581,0.31045295085529784,0.5231319344971493,16.850602742087638,1.4992503748125936,0.0,0.0,0.0,0.0
2004,ARM,0,0,0,0,1,1,1,3,1.5,ARM,3164900.0,3576615240.41616,1130.08791444158,0.7,2.0,Continental,5.0,7.0,2.48673009872436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,ARM,0,0,6,6,1,1,1,3,1.0,ARM,3087100.0,11662040713.8753,3777.66859313767,0.743,2.0,Continental,5.0,7.0,3.17272996902466,1.943571636811247,0.5144897147255969,15.882811983293902,8.075370121130552,0.0,0.0,0.0,0.0
2012,ARM,0,1,2,3,1,1,7,9,2.333333333333333,ARM,3024100.0,10619320682.9474,3511.56399687426,0.761,2.0,Continental,5.0,7.0,2.77248001098633,0.9920306868159122,0.2825039463039691,8.543201840178288,3.9421813403416555,0.0,0.0,0.0,0.0
2016,ARM,1,3,0,4,1,2,9,12,3.0,ARM,2992300.0,10546136235.5219,3524.42476874707,0.783,2.0,Continental,5.0,7.0,2.75812005996704,1.3367643618621128,0.37928582664493243,11.34936979069636,5.108556832694764,0.3341910904655282,0.09482145666123311,2.83734244767409,1.277139208173691
2020,ARM,0,2,2,4,2,5,9,16,4.333333333333333,ARM,2961500.0,12641698583.2152,4268.68093304583,0.761,2.0,Continental,5.0,7.0,2.70555996894836,1.3506668917778153,0.3164131760988932,9.370576210168704,5.256241787122208,0.0,0.0,0.0,0.0
2024,ARM,0,3,1,4,2,7,11,20,3.6666666666666665,ARM,3033500.0,25955275380.0321,8556.21406956719,,2.0,Continental,5.0,7.0,,1.3186088676446348,0.15411125258479352,4.674964847159718,,0.0,0.0,0.0,
1988,ARU,0,0,0,0,0,0,0,0,0.0,ABW,59331.0,596648044.692737,10056.2613927414,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1992,ARU,0,0,0,0,0,0,0,0,0.0,ABW,69005.0,958659217.877095,13892.6051427736,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1996,ARU,0,0,0,0,0,0,0,0,0.0,ABW,83021.0,1379888268.15642,16620.9545555513,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2000,ARU,0,0,0,0,0,0,0,0,0.0,ABW,90588.0,1873452513.96648,20681.0230269625,,,,,,4.71468019485474,0.0,0.0,0.0,,0.0,0.0,0.0,
2004,ARU,0,0,0,0,0,0,0,0,0.0,ABW,95138.0,2254830726.25698,23700.6319899197,,,,,,4.35698986053467,0.0,0.0,0.0,,0.0,0.0,0.0,
2008,ARU,0,0,0,0,0,0,0,0,0.0,ABW,100917.0,2843024581.00559,28171.9094008501,,,,,,4.82730007171631,0.0,0.0,0.0,,0.0,0.0,0.0,
2012,ARU,0,0,0,0,0,0,0,0,0.0,ABW,104110.0,2615208379.88827,25119.6655449838,,,,,,6.3472900390625,0.0,0.0,0.0,,0.0,0.0,0.0,
2016,ARU,0,0,0,0,0,0,0,0,0.0,ABW,108727.0,2983637430.1676,27441.5502144601,,,,,,5.49136018753052,0.0,0.0,0.0,,0.0,0.0,0.0,
2020,ARU,0,0,0,0,0,0,0,0,0.0,ABW,108587.0,2471419181.71957,22759.8071750722,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2024,ARU,0,0,0,0,0,0,0,0,0.0,ABW,107995.0,4265650673.00236,39498.5941293797,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
1988,ASA,0,0,0,0,0,0,0,0,0.0,ASM,43615.0,,,,,,,,,0.0,,,,0.0,,,
1992,ASA,0,0,0,0,0,0,0,0,0.0,ASM,49038.0,,,,,,,,,0.0,,,,0.0,,,
1996,ASA,0,0,0,0,0,0,0,0,0.0,ASM,53353.0,,,,,,,,,0.0,,,,0.0,,,
2000,ASA,0,0,0,0,0,0,0,0,0.0,ASM,56855.0,,,,,,,,,0.0,,,,0.0,,,
2004,ASA,0,0,0,0,0,0,0,0,0.0,ASM,56818.0,509000000.0,8958.42866697173,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2008,ASA,0,0,0,0,0,0,0,0,0.0,ASM,55828.0,560000000.0,10030.8089130902,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2012,ASA,0,0,0,0,0,0,0,0,0.0,ASM,54489.0,640000000.0,11745.4899153958,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2016,ASA,0,0,0,0,0,0,0,0,0.0,ASM,52245.0,671000000.0,12843.3342903627,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2020,ASA,0,0,0,0,0,0,0,0,0.0,ASM,49761.0,721000000.0,14489.2586563775,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2024,ASA,0,0,0,0,0,0,0,0,0.0,ASM,46765.0,,,,,,,,,0.0,,,,0.0,,,
1960,AUS,8,8,6,22,33,25,36,94,19.666666666666668,AUS,10276477.0,18635682981.7093,1813.43109917039,,3.0,Temperate,12.0,4.0,,2.1408114862710246,1.1805309213294053,121.31698860830487,,0.7784769040985544,0.429283971392511,44.115268584838134,
1964,AUS,6,2,10,18,41,33,42,116,22.666666666666668,AUS,11167000.0,23835843813.735,2134.48946124608,,3.0,Temperate,12.0,4.0,,1.6118921823229155,0.7551652100366509,84.3292990047929,,0.5372973941076387,0.2517217366788837,28.10976633493097,
1968,AUS,5,7,5,17,47,35,52,134,25.0,AUS,12009000.0,32763365242.1384,2728.23426114901,,3.0,Temperate,12.0,4.0,,1.4156049629444583,0.5188722182340278,62.3113646877243,,0.41635440086601716,0.15260947595118468,18.326871966977734,
1972,AUS,8,7,2,17,52,42,57,151,19.0,AUS,13177000.0,52117990654.2056,3955.22430403017,,3.0,Temperate,12.0,4.0,,1.290126735979358,0.3261829511577344,42.981127474054695,,0.607118463990286,0.1534978593683456,20.226412928966916,
1976,AUS,0,1,4,5,60,49,59,168,17.333333333333332,AUS,14033000.0,105209354855.787,7497.28175413577,,3.0,Temperate,12.0,4.0,,0.3563030000712606,0.0475242910371765,6.669083761246962,,0.0,0.0,0.0,
1980,AUS,2,2,5,9,60,50,63,173,13.0,AUS,14692000.0,150200557103.064,10223.2886675105,,3.0,Temperate,12.0,4.0,5.64617013931274,0.6125782738905526,0.05991988427728945,8.80342939801935,,0.13612850530901172,0.013315529839397655,1.9563176440042997,
1984,AUS,4,8,12,24,62,52,68,182,10.333333333333334,AUS,15579391.0,193749932078.26,12436.2969052038,,3.0,Temperate,12.0,4.0,,1.5404966728160296,0.12387101116663027,19.298349165302998,,0.2567494454693383,0.02064516852777171,3.2163915275504995,
1988,AUS,3,6,5,14,66,60,80,206,12.666666666666666,AUS,16532164.0,236461079970.431,14303.093047615,,3.0,Temperate,12.0,4.0,4.90701007843018,0.8468340865720906,0.05920636073281351,9.78809265478033,,0.18146444712259083,0.012687077299888608,2.0974484260243567,
1992,AUS,7,9,11,27,69,66,85,220,15.666666666666666,AUS,17478635.0,325982966981.415,18650.3675476612,0.868,3.0,Temperate,12.0,4.0,4.6827597618103,1.5447430534478235,0.08282641344736066,14.476926490055078,31.10599078341014,0.40048893978276906,0.02147351459746388,3.7532772381624278,8.064516129032258
1996,AUS,9,9,23,41,76,75,96,247,21.666666666666668,AUS,18224767.0,401962517479.122,22055.838490507,0.884,3.0,Temperate,12.0,4.0,,2.249685825887376,0.10199956020060887,18.589182187585706,46.380090497737555,0.49383347397527766,0.022390147361109263,4.080552187518814,10.180995475113122
